university_program_id,subject_group_code
454bce7c-eaa3-5a0b-97b3-ecaa430083ac,C03
454bce7c-eaa3-5a0b-97b3-ecaa430083ac,D01
454bce7c-eaa3-5a0b-97b3-ecaa430083ac,A00
454bce7c-eaa3-5a0b-97b3-ecaa430083ac,A01
38cbaf5b-00a9-5426-a9fe-e4f636f19cac,A00
38cbaf5b-00a9-5426-a9fe-e4f636f19cac,A01
38cbaf5b-00a9-5426-a9fe-e4f636f19cac,C03
38cbaf5b-00a9-5426-a9fe-e4f636f19cac,D01
8886e94a-9072-5992-8427-916ea25a8146,A00
8886e94a-9072-5992-8427-916ea25a8146,A01
8886e94a-9072-5992-8427-916ea25a8146,C03
8886e94a-9072-5992-8427-916ea25a8146,D01
b156b2dc-7c8d-5292-ac45-7defd6915a21,A00
b156b2dc-7c8d-5292-ac45-7defd6915a21,A01
b156b2dc-7c8d-5292-ac45-7defd6915a21,C03
b156b2dc-7c8d-5292-ac45-7defd6915a21,D01
1a07f67d-d6fa-551f-b6b6-28157d22b88f,A00
1a07f67d-d6fa-551f-b6b6-28157d22b88f,A01
1a07f67d-d6fa-551f-b6b6-28157d22b88f,C03
1a07f67d-d6fa-551f-b6b6-28157d22b88f,D01
ce8c914a-4eb7-5e94-bb21-fbb069d6cd32,A00
ce8c914a-4eb7-5e94-bb21-fbb069d6cd32,A01
ce8c914a-4eb7-5e94-bb21-fbb069d6cd32,C03
ce8c914a-4eb7-5e94-bb21-fbb069d6cd32,D01
394c3268-1d90-5a3a-b765-55148fca8949,A00
394c3268-1d90-5a3a-b765-55148fca8949,A01
394c3268-1d90-5a3a-b765-55148fca8949,C03
394c3268-1d90-5a3a-b765-55148fca8949,D01
f820ab04-3fe9-5039-9b2e-5ebd794ddf37,A00
f820ab04-3fe9-5039-9b2e-5ebd794ddf37,A01
f820ab04-3fe9-5039-9b2e-5ebd794ddf37,C03
f820ab04-3fe9-5039-9b2e-5ebd794ddf37,D01
52bf3df8-8bb7-515a-9486-cf94205515fd,A00
52bf3df8-8bb7-515a-9486-cf94205515fd,A01
52bf3df8-8bb7-515a-9486-cf94205515fd,C03
52bf3df8-8bb7-515a-9486-cf94205515fd,D01
38cbaf5b-00a9-5426-a9fe-e4f636f19cac,X02
38cbaf5b-00a9-5426-a9fe-e4f636f19cac,X03
38cbaf5b-00a9-5426-a9fe-e4f636f19cac,X04
8886e94a-9072-5992-8427-916ea25a8146,X02
8886e94a-9072-5992-8427-916ea25a8146,X03
8886e94a-9072-5992-8427-916ea25a8146,X04
b156b2dc-7c8d-5292-ac45-7defd6915a21,X02
b156b2dc-7c8d-5292-ac45-7defd6915a21,X03
b156b2dc-7c8d-5292-ac45-7defd6915a21,X04
1a07f67d-d6fa-551f-b6b6-28157d22b88f,X02
1a07f67d-d6fa-551f-b6b6-28157d22b88f,X03
1a07f67d-d6fa-551f-b6b6-28157d22b88f,X04
ce8c914a-4eb7-5e94-bb21-fbb069d6cd32,X02
ce8c914a-4eb7-5e94-bb21-fbb069d6cd32,X03
ce8c914a-4eb7-5e94-bb21-fbb069d6cd32,X04
394c3268-1d90-5a3a-b765-55148fca8949,X02
394c3268-1d90-5a3a-b765-55148fca8949,X03
394c3268-1d90-5a3a-b765-55148fca8949,X04
f820ab04-3fe9-5039-9b2e-5ebd794ddf37,X02
f820ab04-3fe9-5039-9b2e-5ebd794ddf37,X03
f820ab04-3fe9-5039-9b2e-5ebd794ddf37,X04
52bf3df8-8bb7-515a-9486-cf94205515fd,X02
52bf3df8-8bb7-515a-9486-cf94205515fd,X03
52bf3df8-8bb7-515a-9486-cf94205515fd,X04
85d281d6-7bb3-5d11-a28c-00a80797d464,C00
b30f0ca2-4eea-5155-9ea5-5f4d95eb90e1,A01
b30f0ca2-4eea-5155-9ea5-5f4d95eb90e1,C00
3b8ca53f-1cf0-5513-8ca2-c01a35be7211,C00
ca618bde-b6cb-55c9-b3a3-45e20798502b,C00
6961339b-e511-5bec-9cdf-2a2531d5e860,A01
831fe59b-4c9b-5698-9ef2-96efa61643ac,A01
b87cd785-1099-5b2e-80f0-008606a44ce7,A01
f4b26d33-aeeb-5134-a978-17dc10ebea68,A01
3efdfddc-7e17-5017-b6e3-0a629583e14a,A01
ff72939e-860d-5b3c-9e53-9ef48baf1f90,C00
33ae586a-e55e-5f76-8a9c-5f5414dfe576,C00
22ca1ed6-1794-5c4d-8bef-c1b28578e6c4,C00
f9363cbc-1c24-593b-8ce0-980b8a837117,C00
ddbd236c-2c17-529c-838f-a9dfee65ae64,C00
e221729f-a825-5db7-8371-8a3a98142f84,C00
605859f4-cbb3-5120-a992-28ec96539deb,C01
605859f4-cbb3-5120-a992-28ec96539deb,D01
e19319e7-ab11-5057-9ebc-8a3087d2835f,C03
0659ab2d-f491-59fe-a4b1-2c3c3351a14e,C01
0659ab2d-f491-59fe-a4b1-2c3c3351a14e,D01
580710ae-ebe6-5710-8a5d-005165c7b473,C03
cf51b43b-3417-5fcd-b32c-3381e1be4d4f,C01
cf51b43b-3417-5fcd-b32c-3381e1be4d4f,D01
241f4e13-252e-5543-bc64-5cffdcdce6ec,C03
597c6301-0973-5a8e-b69d-8da04c25adcf,C01
597c6301-0973-5a8e-b69d-8da04c25adcf,D01
211fd6c3-32d6-5b8d-8be4-173faa0552ee,C01
211fd6c3-32d6-5b8d-8be4-173faa0552ee,D01
3a364dce-324e-51ec-b596-1b57b1c43cd3,C01
3a364dce-324e-51ec-b596-1b57b1c43cd3,D01
e3696e18-4432-5de5-abf3-242dd44c65cb,C01
e3696e18-4432-5de5-abf3-242dd44c65cb,D01
74c9467c-bd1c-572c-a2da-c2cfe7f4d403,C03
d3127809-327e-5f7f-8494-294bc370ce14,C03
f1154186-5738-58c1-a666-5138f7579444,C03
94b8eae3-b5c5-5964-ba08-03d738274ff0,C03
3b8ca53f-1cf0-5513-8ca2-c01a35be7211,Q00
ca618bde-b6cb-55c9-b3a3-45e20798502b,Q00
77a1f7bb-f414-5f2c-9af8-69c2cc897173,Q00
49f24127-097d-592c-8e7c-097dd39c62bc,Q00
0770132f-7ecf-56d4-82fc-bc31baa595cc,Q00
9556961a-3291-58b4-8093-89cacddf6a96,Q00
6de2894c-983d-5646-b5f6-f45944a3652d,Q00
7d12022c-1206-5b0f-bddb-de1fed9d451a,A00
7d12022c-1206-5b0f-bddb-de1fed9d451a,A01
