id,code,description
1,giao_duc,"Khoa học giáo dục và đào tạo giáo viên (Sư phạm, Quản lý giáo dục...)"
2,nghe_thuat,"Nghệ thuật (Âm nhạc, Mỹ thuật, Diễn viên...)"
3,nhan_van,"Nhân văn (Văn học, Ngôn ngữ, Lịch sử, Triết học...)"
4,khoa_hoc_xa_hoi,"Khoa học xã hội và hành vi (Kinh tế học, Tâm lý học, Xã hội học...)"
5,truyen_thong,"Báo chí và truyền thông (Báo chí, Truyền thông, Thư viện...)"
6,kinh_te,"Kinh doanh và Quản lý (Quản trị kinh doanh, Kế toán, Tài chính - Ngân hàng...)"
7,phap_luat,"Pháp luật (Luật kinh tế, Luật quốc tế...)"
8,khoa_hoc_su_song,"Khoa học sự sống (Sinh học, Công nghệ sinh học...)"
9,khoa_hoc_tu_nhien,"Khoa học tự nhiên (Toán học, Vật lý, Hóa học...)"
10,cntt,"Máy tính và công nghệ thông tin (Khoa học máy tính, Kỹ thuật phần mềm...)"
11,dien_tu,"Công nghệ kỹ thuật (Công nghệ kỹ thuật ô tô, điện - điện tử...)"
12,ky_thuat,"Kỹ thuật (Kỹ thuật cơ khí, Kỹ thuật xây dựng, Kỹ thuật điện...)"
13,san_xuat_che_bien,"Sản xuất và chế biến (Công nghệ thực phẩm, Chế biến lâm sản...)"
14,xay_dung,"Kiến trúc và xây dựng (Kiến trúc, Quy hoạch đô thị...)"
15,nong_lam,"Nông, lâm nghiệp và thủy sản (Chăn nuôi, Trồng trọt, Nuôi trồng thủy sản...)"
16,thu_y,Thú y
17,y_te,"Sức khỏe (Y khoa, Dược học, Điều dưỡng...)"
18,xa_hoi,Dịch vụ xã hội (Công tác xã hội...)
19,du_lich,"Du lịch, khách sạn và dịch vụ cá nhân (Quản trị du lịch, TDTT...)"
20,van_tai,"Dịch vụ vận tải (Khai thác vận tải, Kinh tế vận tải...)"
21,moi_truong,Môi trường và bảo vệ môi trường (Công nghệ môi trường...)
22,an_ninh,"An ninh, Quốc phòng"
23,toan_va_thong_ke,Toán và thống kê
24,the_thao,Thể thao
