code,subject_1,subject_2,subject_3
A00,Toán,Lý,Hóa
A01,Toán,Lý,Tiếng Anh
A02,Toán,Lý,Sinh
A03,Toán,Lý,Tiếng Anh
A04,Toán,Lý,Lịch sử
A05,Toán,Hóa,Lịch sử
A06,Toán,Lý,Địa lý
A07,Toán,Lý,Hóa
A08,Toán,Lịch sử,Giáo dục công dân
A09,Toán,Địa lý,Tiếng Anh
A10,Toán,Lý,Giáo dục công dân
A11,Toán,Lý,Sinh
A12,Toán,Lý,Tiếng Anh
A13,Toán,Lý,Hóa
A14,Toán,Lý,Tiếng Anh
A15,Toán,Lý,Sinh
A16,Toán,Khoa học tự nhiên,Ngữ văn
A17,Toán,Lý,Sinh
A18,Toán,Lý,Tiếng Anh
A19,Toán,Lý,Hóa
B00,Toán,Hóa,Sinh
B01,Toán,Sinh,Tiếng Anh
B02,Toán,Sinh,Địa lý
B03,Toán,Sinh,Lịch sử
B04,Toán,Hóa,Địa lý
B05,Toán,Hóa,Sinh
B08,Toán,Sinh,Giáo dục công dân
C00,Văn,Sử,Địa
C01,Văn,Toán,Lý
C02,Văn,Toán,Hóa
C03,Văn,Toán,Sử
C04,Văn,Toán,Địa
C05,Văn,Lý,Hóa
C06,Văn,Lý,Địa
C07,Văn,Hóa,Địa
C08,Văn,Hóa,Sinh
C09,Văn,Lý,Sử
C10,Toán,Sử,Địa
C11,Văn,Sử,Địa
C12,Văn,Sử,Địa
C13,Văn,Sử,Địa
C14,Văn,Toán,Giáo dục công dân
C15,Văn,Toán,Tiếng Anh
C16,Văn,Lý,Tiếng Anh
C19,Văn,Sử,Tiếng Anh
C20,Văn,Địa,Tiếng Anh
D00,Văn,Toán,Tiếng Anh
D01,Văn,Toán,Tiếng Anh
D02,Toán,Lý,Hóa
D03,Toán,Hóa,Sinh
D04,Toán,Lý,Sinh
D05,Văn,Sử,Địa
D06,Toán,Lý,Tiếng Anh
D07,Toán,Hóa,Tiếng Anh
D08,Toán,Sinh,Tiếng Anh
D09,Toán,Lịch sử,Tiếng Anh
D10,Toán,Địa lý,Tiếng Anh
D11,Toán,Lý,Giáo dục công dân
D12,Toán,Hóa,Giáo dục công dân
D13,Toán,Sinh,Giáo dục công dân
D14,Văn,Sử,Tiếng Anh
D15,Văn,Địa,Tiếng Anh
D16,Văn,Lý,Tiếng Anh
D20,Toán,Lý,Hóa
D21,Toán,Hóa,Sinh
D22,Toán,Lý,Sinh
D23,Văn,Toán,Tiếng Anh
D24,Văn,Lý,Tiếng Anh
D25,Văn,Hóa,Tiếng Anh
D26,Văn,Sinh,Tiếng Anh
D27,Toán,Sử,Địa
D28,Toán,Sử,Tiếng Anh
D29,Toán,Địa,Tiếng Anh
D30,Toán,Lịch sử,Giáo dục công dân
D31,Toán,Địa lý,Giáo dục công dân
D32,Toán,Toán,Tiếng Anh
D33,Lý,Hóa,Sinh
D34,Lý,Hóa,Tiếng Anh
D35,Hóa,Sinh,Tiếng Anh
D40,Toán,Tiếng Anh,Tiếng Pháp
D41,Toán,Tiếng Anh,Tiếng Đức
D42,Toán,Tiếng Anh,Tiếng Tây Ban Nha
D43,Toán,Tiếng Anh,Tiếng Trung
D44,Toán,Tiếng Anh,Tiếng Nhật
D45,Toán,Tiếng Anh,Tiếng Hàn
D55,Toán,Tiếng Anh,Tiếng Anh
D61,Lý,Hóa,Địa lý
D62,Lý,Hóa,Lịch sử
D63,Lý,Sinh,Địa lý
D64,Lý,Sinh,Lịch sử
D65,Hóa,Sinh,Địa lý
D66,Văn,Toán,Tiếng Nhật
D68,Toán,Lý,Địa lý
D69,Toán,Hóa,Địa lý
D70,Toán,Sinh,Địa lý
D71,Toán,Lý,Lịch sử
D72,Toán,Hóa,Lịch sử
D78,Toán,Sinh,Lịch sử
D82,Lý,Hóa,Giáo dục công dân
D84,Lý,Sinh,Giáo dục công dân
D89,Hóa,Sinh,Giáo dục công dân
D90,Toán,Khoa học tự nhiên,Tiếng Anh
D91,Toán,Tiếng Anh,Tiếng Pháp
D96,Toán,Lý,Tiếng Pháp
D97,Toán,Lý,Tiếng Đức
D98,Toán,Lý,Tiếng Nhật
H00,Toán,Lý,Hóa
H01,Toán,Hóa,Sinh
H02,Toán,Lý,Sinh
H04,Toán,Lý,Tiếng Anh
H06,Toán,Hóa,Tiếng Anh
H07,Toán,Sinh,Tiếng Anh
H08,Toán,Lý,Lịch sử
H09,Toán,Lý,Địa lý
K00,Toán,Lý,Hóa
M00,Toán,Hóa,Sinh
M01,Toán,Lý,Sinh
M02,Toán,Lý,Hóa
N00,Văn,Sử,Địa
N01,Văn,Sử,Tiếng Anh
N02,Văn,Địa,Tiếng Anh
N05,Văn,Toán,Tiếng Anh
Q00,Toán,Lý,Hóa
R00,Toán,Hóa,Sinh
R22,Toán,Lý,Tiếng Anh
R23,Toán,Lý,Hóa
R25,Toán,Hóa,Sinh
R26,Toán,Sinh,Tiếng Anh
R27,Toán,Lý,Sinh
S00,Toán,Lý,Hóa
T00,Toán,Hóa,Sinh
T01,Toán,Lý,Sinh
T02,Toán,Lý,Hóa
T05,Toán,Lý,Tiếng Anh
T08,Toán,Hóa,Tiếng Anh
T09,Toán,Sinh,Tiếng Anh
T10,Toán,Lý,Lịch sử
T11,Toán,Lý,Địa lý
T49,Văn,Sử,Địa
V00,Văn,Sử,Địa
V01,Văn,Sử,Tiếng Anh
V02,Văn,Địa,Tiếng Anh
V03,Văn,Toán,Tiếng Anh
V05,Văn,Lý,Tiếng Anh
V06,Văn,Toán,Hóa
V10,Văn,Toán,Sinh
X01,Toán,Lý,Hóa
X02,Toán,Lý,Sinh
X03,Toán,Hóa,Sinh
X04,Toán,Lý,Tiếng Anh
X05,Toán,Hóa,Tiếng Anh
X06,Toán,Sinh,Tiếng Anh
X07,Toán,Lý,Lịch sử
X08,Toán,Lý,Địa lý
X09,Toán,Hóa,Lịch sử
X10,Toán,Hóa,Địa lý
X11,Toán,Sinh,Lịch sử
