rerank_rank,institution,method_group,in_2026_top_100,source_year,years_available,latest_national_rank,base_avg_6criteria_rank,penalty_multiplier,adjusted_avg_6criteria_rank,rerank_score_100,recognized_quality_rank_used,teaching_rank_used,publications_rank_used,science_tech_innovation_rank_used,learner_quality_rank_used,facilities_rank_used
1,Đại học Bách khoa Hà Nội,current_top_100,yes,2026,2023|2024|2025|2026,3.0,6.666667,1.0,6.666667,97.048611,6.0,1.0,4.0,3.0,24.0,2.0
2,Đại học Quốc gia TP. Hồ Chí Minh,current_top_100,yes,2026,2023|2024|2025|2026,2.0,9.0,1.0,9.0,95.833333,2.0,9.0,1.0,2.0,39.0,1.0
3,Trường Đại học Thương Mại,current_top_100,yes,2026,2023|2024|2025|2026,10.0,14.333333,1.0,14.333333,93.055556,24.0,5.0,33.0,8.0,9.0,7.0
4,Đại học Quốc gia Hà Nội,current_top_100,yes,2026,2023|2024|2025|2026,1.0,14.666667,1.0,14.666667,92.881944,1.0,27.0,5.0,1.0,49.0,5.0
5,Đại học Kinh tế TP. Hồ Chí Minh,current_top_100,yes,2026,2023|2024|2025|2026,4.0,18.333333,1.0,18.333333,90.972222,4.0,34.0,7.0,33.0,29.0,3.0
6,Trường Đại học Sư phạm Hà Nội,current_top_100,yes,2026,2023|2024|2025|2026,13.0,18.833333,1.0,18.833333,90.711806,25.0,22.0,30.0,12.0,13.0,11.0
7,Đại học Kinh tế Quốc dân,current_top_100,yes,2026,2023|2024|2025|2026,11.0,24.166667,1.0,24.166667,87.934028,10.0,61.0,16.0,25.0,6.0,27.0
8,Đại học Công nghiệp Hà Nội,current_top_100,yes,2026,2023|2024|2025|2026,18.0,33.5,1.0,33.5,83.072917,16.0,31.0,32.0,27.0,82.0,13.0
9,Đại học Thái Nguyên,current_top_100,yes,2026,2023|2024|2025|2026,15.0,33.666667,1.0,33.666667,82.986111,43.0,20.0,22.0,7.0,107.0,3.0
10,Đại học Huế,current_top_100,yes,2026,2023|2024|2025|2026,14.0,37.833333,1.0,37.833333,80.815972,11.0,64.0,20.0,10.0,112.0,10.0
11,Đại học Đà Nẵng,current_top_100,yes,2026,2023|2024|2025|2026,9.0,40.833333,1.0,40.833333,79.253472,12.0,29.0,18.0,9.0,67.0,110.0
12,Đại học Cần Thơ,current_top_100,yes,2026,2023|2024|2025|2026,8.0,41.333333,1.0,41.333333,78.993056,19.0,7.0,9.0,6.0,99.0,108.0
13,Trường Đại học Công nghiệp TP. Hồ Chí Minh,current_top_100,yes,2026,2023|2024|2025|2026,12.0,42.333333,1.0,42.333333,78.472222,13.0,46.0,11.0,29.0,23.0,132.0
14,Học viện Nông nghiệp Việt Nam,current_top_100,yes,2026,2023|2024|2025|2026,17.0,43.833333,1.0,43.833333,77.690972,45.0,14.0,29.0,5.0,74.0,96.0
15,Trường Đại học Hồng Đức,current_top_100,yes,2026,2023|2024|2025|2026,34.0,46.333333,1.0,46.333333,76.388889,29.0,39.0,72.0,39.0,86.0,13.0
16,Trường Đại học Khoa học và Công nghệ Hà Nội,current_top_100,yes,2026,2023|2024|2025|2026,6.0,46.333333,1.0,46.333333,76.388889,8.0,2.0,10.0,133.0,83.0,42.0
17,Trường Đại học Tôn Đức Thắng,current_top_100,yes,2026,2023|2024|2025|2026,5.0,47.833333,1.0,47.833333,75.607639,3.0,101.0,3.0,18.0,17.0,145.0
18,Trường Đại học Vinh,current_top_100,yes,2026,2023|2024|2025|2026,19.0,48.0,1.0,48.0,75.520833,37.0,3.0,37.0,35.0,52.0,124.0
19,Học viện Ngân hàng,current_top_100,yes,2026,2023|2024|2025|2026,25.0,48.333333,1.0,48.333333,75.347222,60.0,15.0,53.0,20.0,14.0,128.0
20,Trường Đại học Ngoại Thương,current_top_100,yes,2026,2023|2024|2025|2026,22.0,49.166667,1.0,49.166667,74.913194,21.0,60.0,49.0,26.0,1.0,138.0
21,Trường Đại học Sư phạm TP. Hồ Chí Minh,current_top_100,yes,2026,2023|2024|2025|2026,28.0,49.5,1.0,49.5,74.739583,52.0,17.0,39.0,40.0,22.0,127.0
22,Trường Đại học Y Dược TP. Hồ Chí Minh,current_top_100,yes,2026,2023|2024|2025|2026,49.0,49.833333,1.0,49.833333,74.565972,47.0,104.0,14.0,59.0,69.0,6.0
23,Trường Đại học Thuỷ Lợi,current_top_100,yes,2026,2023|2024|2025|2026,20.0,50.833333,1.0,50.833333,74.045139,28.0,6.0,28.0,16.0,87.0,140.0
24,Đại học Phenikaa,current_top_100,yes,2026,2023|2024|2025|2026,57.0,50.833333,1.0,50.833333,74.045139,34.0,136.0,17.0,4.0,92.0,22.0
25,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG (CÔNG LẬP),outside_current_top_100_latest_prior_year,no,2025,2023|2024|2025,28.0,48.666667,1.072539,52.196891,73.334953,64.352332,21.450777,42.901554,11.797927,20.378238,152.300518
26,Trường Đại học Sư phạm Hà Nội 2,current_top_100,yes,2026,2024|2025|2026,26.0,53.0,1.0,53.0,72.916667,35.0,26.0,68.0,63.0,19.0,107.0
27,Trường Đại học Y Hà Nội,current_top_100,yes,2026,2023|2024|2025|2026,45.0,53.833333,1.0,53.833333,72.482639,20.0,118.0,15.0,38.0,106.0,26.0
28,Trường Đại học Dược Hà Nội,current_top_100,yes,2026,2023|2024|2025|2026,29.0,54.0,1.0,54.0,72.395833,62.0,8.0,34.0,34.0,56.0,130.0
29,Trường Đại học Giao thông Vận tải,current_top_100,yes,2026,2023|2024|2025|2026,24.0,54.166667,1.0,54.166667,72.309028,23.0,32.0,35.0,19.0,50.0,166.0
30,Học viện Tài chính,current_top_100,yes,2026,2023|2024|2025|2026,32.0,55.166667,1.0,55.166667,71.788194,50.0,21.0,90.0,22.0,11.0,137.0
31,Trường Đại học Xây dựng Hà Nội,current_top_100,yes,2026,2023|2024|2025|2026,30.0,55.833333,1.0,55.833333,71.440972,22.0,50.0,40.0,13.0,27.0,183.0
32,Trường Đại học Mỏ - Địa chất,current_top_100,yes,2026,2023|2024|2025|2026,27.0,56.5,1.0,56.5,71.09375,41.0,13.0,36.0,14.0,115.0,120.0
33,Trường Đại học Quy Nhơn,current_top_100,yes,2026,2023|2024|2025|2026,23.0,58.333333,1.0,58.333333,70.138889,31.0,4.0,61.0,31.0,66.0,157.0
34,Trường Đại học Sư phạm Kỹ thuật TP. Hồ Chí Minh,current_top_100,yes,2026,2023|2024|2025|2026,38.0,58.833333,1.0,58.833333,69.878472,39.0,73.0,12.0,55.0,41.0,133.0
35,Trường Đại học Công đoàn,current_top_100,yes,2026,2023|2024|2025|2026,47.0,59.166667,1.0,59.166667,69.704861,62.0,38.0,111.0,53.0,60.0,31.0
36,Trường Đại học Kinh tế Kỹ thuật công nghiệp,current_top_100,yes,2026,2023|2024|2025|2026,50.0,60.833333,1.0,60.833333,68.836806,38.0,67.0,74.0,47.0,40.0,99.0
37,Trường Đại học Luật TP. Hồ Chí Minh,current_top_100,yes,2026,2023|2024|2025|2026,41.0,61.666667,1.0,61.666667,68.402778,62.0,19.0,134.0,75.0,72.0,8.0
38,Trường Đại học Hàng hải Việt Nam,current_top_100,yes,2026,2023|2024|2025|2026,43.0,62.333333,1.0,62.333333,68.055556,62.0,37.0,56.0,28.0,62.0,129.0
39,Trường Đại học Đồng Tháp,current_top_100,yes,2026,2023|2024|2025|2026,48.0,64.166667,1.0,64.166667,67.100694,27.0,62.0,66.0,43.0,46.0,141.0
40,Trường Đại học Ngân hàng TP. Hồ Chí Minh,current_top_100,yes,2026,2023|2024|2025|2026,40.0,64.5,1.0,64.5,66.927083,57.0,18.0,47.0,73.0,58.0,134.0
41,Trường Đại học Y tế Công cộng,current_top_100,yes,2026,2023|2024|2025|2026,54.0,64.833333,1.0,64.833333,66.753472,58.0,65.0,31.0,67.0,70.0,98.0
42,TRƯỜNG ĐẠI HỌC NÔNG LÂM TP. HỒ CHÍ MINH (CÔNG LẬP),outside_current_top_100_latest_prior_year,no,2025,2023|2025,58.0,56.5,1.150259,64.989637,66.672064,50.611399,89.720207,60.963731,52.911917,106.974093,28.756477
43,Trường Đại học Luật Hà Nội,current_top_100,yes,2026,2023|2024|2025|2026,36.0,65.666667,1.0,65.666667,66.319444,62.0,10.0,115.0,62.0,31.0,114.0
