rerank_rank,institution,method_group,in_2026_top_100,source_year,penalty_multiplier,rerank_score_100,recognized_quality_score_100,teaching_score_100,publications_score_100,science_tech_innovation_score_100,learner_quality_score_100,facilities_score_100,avg_6criteria_score_100
1,Đại học Bách khoa Hà Nội,current_top_100,yes,2026,1.0,97.048611,97.395833,100.0,98.4375,98.958333,88.020833,99.479167,97.048611
2,Đại học Quốc gia TP. Hồ Chí Minh,current_top_100,yes,2026,1.0,95.833333,99.479167,95.833333,100.0,99.479167,80.208333,100.0,95.833333
3,Trường Đại học Thương Mại,current_top_100,yes,2026,1.0,93.055556,88.020833,97.916667,83.333333,96.354167,95.833333,96.875,93.055556
4,Đại học Quốc gia Hà Nội,current_top_100,yes,2026,1.0,92.881944,100.0,86.458333,97.916667,100.0,75.0,97.916667,92.881944
5,Đại học Kinh tế TP. Hồ Chí Minh,current_top_100,yes,2026,1.0,90.972222,98.4375,82.8125,96.875,83.333333,85.416667,98.958333,90.972222
6,Trường Đại học Sư phạm Hà Nội,current_top_100,yes,2026,1.0,90.711806,87.5,89.0625,84.895833,94.270833,93.75,94.791667,90.711806
7,Đại học Kinh tế Quốc dân,current_top_100,yes,2026,1.0,87.934028,95.3125,68.75,92.1875,87.5,97.395833,86.458333,87.934028
8,Đại học Công nghiệp Hà Nội,current_top_100,yes,2026,1.0,83.072917,92.1875,84.375,83.854167,86.458333,57.8125,93.75,83.072917
9,Đại học Thái Nguyên,current_top_100,yes,2026,1.0,82.986111,78.125,90.104167,89.0625,96.875,44.791667,98.958333,82.986111
10,Đại học Huế,current_top_100,yes,2026,1.0,80.815972,94.791667,67.1875,90.104167,95.3125,42.1875,95.3125,80.815972
11,Đại học Đà Nẵng,current_top_100,yes,2026,1.0,79.253472,94.270833,85.416667,91.145833,95.833333,65.625,43.229167,79.253472
12,Đại học Cần Thơ,current_top_100,yes,2026,1.0,78.993056,90.625,96.875,95.833333,97.395833,48.958333,44.270833,78.993056
13,Trường Đại học Công nghiệp TP. Hồ Chí Minh,current_top_100,yes,2026,1.0,78.472222,93.75,76.5625,94.791667,85.416667,88.541667,31.770833,78.472222
14,Học viện Nông nghiệp Việt Nam,current_top_100,yes,2026,1.0,77.690972,77.083333,93.229167,85.416667,97.916667,61.979167,50.520833,77.690972
15,Trường Đại học Hồng Đức,current_top_100,yes,2026,1.0,76.388889,85.416667,80.208333,63.020833,80.208333,55.729167,93.75,76.388889
16,Trường Đại học Khoa học và Công nghệ Hà Nội,current_top_100,yes,2026,1.0,76.388889,96.354167,99.479167,95.3125,31.25,57.291667,78.645833,76.388889
17,Trường Đại học Tôn Đức Thắng,current_top_100,yes,2026,1.0,75.607639,98.958333,47.916667,98.958333,91.145833,91.666667,25.0,75.607639
18,Trường Đại học Vinh,current_top_100,yes,2026,1.0,75.520833,81.25,98.958333,81.25,82.291667,73.4375,35.9375,75.520833
19,Học viện Ngân hàng,current_top_100,yes,2026,1.0,75.347222,69.270833,92.708333,72.916667,90.104167,93.229167,33.854167,75.347222
20,Trường Đại học Ngoại Thương,current_top_100,yes,2026,1.0,74.913194,89.583333,69.270833,75.0,86.979167,100.0,28.645833,74.913194
21,Trường Đại học Sư phạm TP. Hồ Chí Minh,current_top_100,yes,2026,1.0,74.739583,73.4375,91.666667,80.208333,79.6875,89.0625,34.375,74.739583
22,Trường Đại học Y Dược TP. Hồ Chí Minh,current_top_100,yes,2026,1.0,74.565972,76.041667,46.354167,93.229167,69.791667,64.583333,97.395833,74.565972
23,Trường Đại học Thuỷ Lợi,current_top_100,yes,2026,1.0,74.045139,85.9375,97.395833,85.9375,92.1875,55.208333,27.604167,74.045139
24,Đại học Phenikaa,current_top_100,yes,2026,1.0,74.045139,82.8125,29.6875,91.666667,98.4375,52.604167,89.0625,74.045139
25,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG (CÔNG LẬP),outside_current_top_100_latest_prior_year,no,2025,1.072539,73.334953,67.003994,89.348554,78.176274,94.37608,89.907168,21.197647,73.334953
26,Trường Đại học Sư phạm Hà Nội 2,current_top_100,yes,2026,1.0,72.916667,82.291667,86.979167,65.104167,67.708333,90.625,44.791667,72.916667
27,Trường Đại học Y Hà Nội,current_top_100,yes,2026,1.0,72.482639,90.104167,39.0625,92.708333,80.729167,45.3125,86.979167,72.482639
28,Trường Đại học Dược Hà Nội,current_top_100,yes,2026,1.0,72.395833,68.229167,96.354167,82.8125,82.8125,71.354167,32.8125,72.395833
29,Trường Đại học Giao thông Vận tải,current_top_100,yes,2026,1.0,72.309028,88.541667,83.854167,82.291667,90.625,74.479167,14.0625,72.309028
