university_code,university_name,latest_year,avg_thpt_score,top10_variant_avg_thpt_score
ANH,Học viện An ninh nhân dân,2025,23.3069,24.395
BKA,ĐH Bách khoa Hà Nội,2025,25.5852,28.565
BPH,Học viện Biên phòng,2025,29.2662,29.2662
BVH,HV Công nghệ Bưu chính Viễn thông,2025,24.1444,25.464
CCM,ĐH Công nghiệp Dệt may HN,2025,16.8182,16.9
CMC,ĐH CMC,2025,19.6929,20.223
CSH,Học viện Cảnh sát nhân dân,2025,23.0325,23.0325
DCN,ĐH Công nghiệp Hà Nội,2025,21.335,24.056
DCQ,ĐH Công nghệ và Quản lí hữu nghị,2025,16.2353,16.4
DDA,ĐH Công nghệ Đông Á,2024,17.3529,17.6
DDL,ĐH Điện lực,2025,20.4822,22.804
DDU,ĐH Đông Đô,2025,15.0,15.5
DKH,ĐH Dược Hà Nội,2025,22.2275,22.2275
DKK,ĐH Kinh tế Kỹ thuật Công nghiệp,2025,22.4022,24.48
DKS,ĐH Kiểm sát Hà Nội,2025,24.855,24.855
DLX,ĐH Lao động Xã hội,2025,16.6587,17.988
DMT,ĐH Tài nguyên & Môi trường,2025,20.0396,25.57
DNV,ĐH Nội vụ,2022,20.9886,24.55
DPD,ĐH Phương Đông,2025,15.625,16.0
DQK,ĐH Kinh doanh & Công nghệ,2025,17.7308,18.9
DTL,ĐH Thăng Long,2025,20.0982,22.408
ETU,ĐH Hoà Bình,2025,15.7381,16.55
FBU,ĐH Tài Chính Ngân Hàng HN,2025,20.775,20.775
FPT,ĐH FPT Hà Nội,2024,21.0,21.0
GHA,ĐH Giao thông Vận tải,2025,24.0388,25.625
GNT,ĐH Sư Phạm Nghệ Thuật Trung Ương,2025,20.25,20.25
GTA,ĐH Công nghệ GTVT,2025,19.7088,23.47
HBT,Học viện Báo chí và Tuyên truyền,2025,25.8409,27.556
HCP,Học viện Chính sách và Phát triển,2025,22.95,23.772
HEH,Học viện Hậu cần,2025,26.4575,27.664
HNM,ĐH Thủ đô Hà Nội,2025,24.8174,26.824
HPN,Học viện Phụ nữ Việt Nam,2025,24.5067,25.097
HQT,Học viện Ngoại giao,2025,25.07,25.16
HTA,Học viện Tòa án,2025,22.465,22.465
HTC,Học viện Tài chính,2025,23.5427,25.671
HTN,HV Thanh thiếu niên Việt Nam,2025,23.7,23.7
HVN,Học viện Nông nghiệp Việt Nam,2025,20.4368,22.04
HVQ,Học viện Quản lý Giáo dục,2025,22.96,22.96
KCN,ĐH Khoa Học và Công Nghệ Hà Nội,2025,20.551,22.207
KHA,ĐH Kinh tế Quốc dân,2025,26.1606,28.204
KMA,Học viện Kỹ thuật Mật mã,2025,24.0233,24.0233
KQH,Học viện Kỹ thuật Quân sự,2025,28.0575,28.0575
KTA,ĐH Kiến trúc Hà Nội,2025,19.2267,20.913
LAH,Trường Sĩ quan Lục quân 1,2025,18.86,18.86
LDA,ĐH Công đoàn,2025,22.1082,23.992
LNH,ĐH Lâm Nghiệp,2025,16.0357,17.12
LPH,ĐH Luật Hà Nội,2025,25.42,25.42
MDA,ĐH Mỏ - Địa chất,2025,18.7713,23.45
MHN,ĐH Mở Hà Nội,2025,20.5029,22.084
NHF,ĐH Hà Nội,2025,20.8193,23.429
NHH,Học viện Ngân hàng,2025,23.3394,25.128
NQH,Học viện Khoa học Quân sự,2025,27.126,27.126
NTH,ĐH Ngoại thương,2025,26.0372,27.624
NTU,ĐH Nguyễn Trãi,2025,15.33,15.33
PKA,ĐH Phenikaa,2025,19.3828,22.35
PKH,HV Phòng không - Không quân,2025,24.9125,24.9125
QHE,ĐH Kinh tế – ĐHQGHN,2025,24.6,24.6
QHF,ĐH Ngoại ngữ – ĐHQGHN,2025,24.8747,26.755
QHI,ĐH Công nghệ – ĐHQGHN,2025,25.7455,27.255
QHL,ĐH Luật – ĐHQGHN,2025,23.9733,23.9733
QHQ,Trường Quốc tế – ĐHQGHN,2025,20.1071,20.4
QHS,ĐH Giáo dục – ĐHQGHN,2024,27.4,27.4
QHT,ĐH Khoa học Tự nhiên – ĐHQGHN,2025,23.1264,24.957
QHX,ĐH KHXH & Nhân văn – ĐHQGHN,2025,26.6921,27.957
QHY,ĐH Y Dược – ĐHQGHN,2025,23.1017,23.1017
SPH,ĐH Sư phạm Hà Nội,2025,25.304,28.422
TDD,ĐH Thành Đô,2025,16.2857,16.4
TLA,ĐH Thủy lợi,2025,21.0747,23.795
TMU,ĐH Thương mại,2025,25.6045,27.18
VHD,ĐH Công nghiệp Việt Hung,2025,16.3308,16.43
VHH,ĐH Văn hóa Hà Nội,2025,26.259,27.101
XDA,ĐH Xây dựng Hà Nội,2025,23.6837,25.71
YHB,ĐH Y Hà Nội,2025,21.9758,24.874
YQH,Học viện Quân y,2025,27.6663,27.6663
YTC,ĐH Y tế Công cộng,2025,20.6083,20.6083
