rating_rank,institution,university_code,final_rating_5,rating_type,vnur_score_1,admission_score_1,quality_teaching_score_1,research_innovation_score_1,learner_facilities_score_1,avg_admission_score_1,top10_admission_score_1,avg_thpt_score,top10_variant_avg_thpt_score,admission_latest_year,admission_source,vnur_source_institution,match_status
1,ĐH Bách khoa Hà Nội,BKA,4.6825,full,0.9705,0.9025,0.987,0.987,0.9375,0.8528,0.9522,25.5852,28.565,2025,THPT,Đại học Bách khoa Hà Nội,matched
2,ĐH Công nghệ – ĐHQGHN,QHI,4.5304,full,0.9288,0.8833,0.9323,0.9896,0.8646,0.8582,0.9085,25.7455,27.255,2025,THPT,Đại học Quốc gia Hà Nội,matched_vnu_hn_cluster
3,ĐH Thương mại,TMU,4.5257,full,0.9306,0.8797,0.9297,0.8984,0.9635,0.8535,0.906,25.6045,27.18,2025,THPT,Trường Đại học Thương Mại,matched
4,ĐH Sư phạm Hà Nội,SPH,4.5064,full,0.9071,0.8954,0.8828,0.8958,0.9427,0.8435,0.9474,25.304,28.422,2025,THPT,Trường Đại học Sư phạm Hà Nội,matched
5,ĐH Ngoại ngữ – ĐHQGHN,QHF,4.4733,full,0.9288,0.8605,0.9323,0.9896,0.8646,0.8292,0.8918,24.8747,26.755,2025,THPT,Đại học Quốc gia Hà Nội,matched_vnu_hn_cluster
6,ĐH Kinh tế Quốc dân,KHA,4.4635,full,0.8793,0.9061,0.8203,0.8984,0.9193,0.872,0.9401,26.1606,28.204,2025,THPT,Đại học Kinh tế Quốc dân,matched
7,ĐH Kinh tế – ĐHQGHN,QHE,4.372,full,0.9288,0.82,0.9323,0.9896,0.8646,0.82,0.82,24.6,24.6,2025,THPT,Đại học Quốc gia Hà Nội,matched_vnu_hn_cluster
8,ĐH Khoa học Tự nhiên – ĐHQGHN,QHT,4.3255,full,0.9288,0.8014,0.9323,0.9896,0.8646,0.7709,0.8319,23.1264,24.957,2025,THPT,Đại học Quốc gia Hà Nội,matched_vnu_hn_cluster
9,ĐH Luật – ĐHQGHN,QHL,4.3198,full,0.9288,0.7991,0.9323,0.9896,0.8646,0.7991,0.7991,23.9733,23.9733,2025,THPT,Đại học Quốc gia Hà Nội,matched_vnu_hn_cluster
10,ĐH Y Dược – ĐHQGHN,QHY,4.2472,full,0.9288,0.7701,0.9323,0.9896,0.8646,0.7701,0.7701,23.1017,23.1017,2025,THPT,Đại học Quốc gia Hà Nội,matched_vnu_hn_cluster
