source_url,page_title,year,table_wp_id,table_dom_id,table_name,institution,institution_url,logo_url,wdt_id,school_type,institution_type,region,province,major_group,national_rank,recognized_quality_rank,teaching_rank,publications_rank,science_tech_innovation_rank,learner_quality_rank,facilities_rank,total_score
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Đại học Quốc gia Hà Nội,https://vnur.vn/dai-hoc-quoc-gia-ha-noi-3/,https://vnur.vn/wp-content/uploads/2025/07/Logo-DH-Quoc-Gia-Ha-Noi-VNU.webp,1,Công lập,Đại học,Đồng bằng Sông Hồng,Thành phố Hà Nội,Đa Ngành,1,1,27,5,1,49,5,100.00
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Đại học Quốc gia TP. Hồ Chí Minh,https://vnur.vn/dai-hoc-quoc-gia-thanh-pho-ho-chi-minh/,https://upload.wikimedia.org/wikipedia/vi/thumb/f/fb/VNUHCM_logo.svg/1200px-VNUHCM_logo.svg.png,2,Công lập,Đại học,Đông Nam bộ,Thành phố Hồ Chí Minh,Đa Ngành,2,2,9,1,2,39,1,99.25
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Đại học Bách khoa Hà Nội,https://vnur.vn/dai-hoc-bach-khoa-ha-noi/,https://hust.edu.vn/uploads/sys/logo-dhbk-1-02_130_191.png,3,Công lập,Đại học,Đồng bằng Sông Hồng,Thành phố Hà Nội,Kỹ thuật,3,6,1,4,3,24,2,87.84
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Đại học Kinh tế TP. Hồ Chí Minh,https://vnur.vn/truong-dai-hoc-kinh-te-tp-ho-chi-minh/,https://vnur.vn/wp-content/uploads/2023/01/6.Kinh-te-TP.HCM_.jpg,4,Công lập,Đại học,Đông Nam Bộ,Thành phố Hồ Chí Minh,Kinh tế,4,4,34,7,33,29,3,74.94
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Trường Đại học Tôn Đức Thắng,https://vnur.vn/truong-dai-hoc-ton-duc-thang/,https://www.tdtu.edu.vn/sites/www/files/logo/logo-tdt-new.png,5,Công lập,Trường Đại học,Đông Nam Bộ,Thành phố Hồ Chí Minh,Đa Ngành,5,3,101,3,18,17,145,73.23
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Trường Đại học Khoa học và Công nghệ Hà Nội,https://vnur.vn/truong-dai-hoc-khoa-hoc-va-cong-nghe-ha-noi/,https://vnur.vn/wp-content/uploads/2024/01/Logo-Truong-Dai-hoc-Khoa-hoc-va-Cong-nghe-Ha-Noi-VN-France-University.webp,7,Công lập,Trường Đại học,Đồng bằng Sông Hồng,Thành phố Hà Nội,Đa Ngành,6,8,2,10,133,83,42,69.21
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Đại học Duy Tân,https://vnur.vn/truong-dai-hoc-duy-tan/,https://vnur.vn/wp-content/uploads/2025/07/logoDT-70.webp,6,Tư thục,Đại học,Bắc Trung bộ và Duyên hải Nam Trung bộ,Thành phố Đà Nẵng,Đa Ngành,7,5,89,2,15,176,164,66.17
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Đại học Cần Thơ,https://vnur.vn/truong-dai-hoc-can-tho/,https://vnur.vn/wp-content/uploads/2023/01/7.Can-Tho.jpg,10,Công lập,Đại học,Đồng bằng sông Cửu Long,Thành phố Cần Thơ,Đa Ngành,8,19,7,9,6,99,108,65.09
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Đại học Đà Nẵng,https://vnur.vn/dai-hoc-da-nang/,https://vnur.vn/wp-content/uploads/2023/01/9.Da-Nang.jpg,9,Công lập,Đại học,Duyên hải Nam Trung Bộ và Tây Nguyên,Thành phố Đà Nẵng,Đa Ngành,9,12,29,18,9,67,110,64.83
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Trường Đại học Thương Mại,https://vnur.vn/truong-dai-hoc-thuong-mai/,https://vnur.vn/wp-content/uploads/2023/01/32.Thuong-mai.jpg,12,Công lập,Trường Đại học,Đồng bằng Sông Hồng,Thành phố Hà Nội,Kinh tế,10,24,5,33,8,9,7,63.73
