major_code,subject_group_code
7860100,A00
7860100,A01
7860100,C03
7860100,D01
7860100,X02
7860100,X03
7860100,X04
7480202,A01
7480202,A00
7720101,B00
7480201,A00
7480201,A01
7480201,K01
7480201,K20
7480201,X26
7480201,X27
7480201,X28
7720101,A00
7860114,A00
7860114,A01
7860114,X26
7860114,X27
7860114,X28
7380101,C03
7380101,C04
7380101,D01
7380101,Q00
7860214,Q00
7860214,C03
522,C03
522,C04
522,D01
522,X01
523,C03
523,C04
523,D01
523,X01
527,C03
527,C04
527,D01
527,X01
528,A16
528,C15
528,D01
528,R22
529,A16
529,C15
529,D01
529,R22
530,C03
530,C04
530,D01
530,X01
531,C03
531,C04
531,D01
531,X01
532,C03
532,C04
532,D01
532,X01
533,C03
533,C04
533,D01
533,X01
535,A16
535,C15
535,D01
535,R22
536,A16
536,C15
536,D01
536,R22
537,C03
537,C04
537,D01
537,X01
538,C03
538,C04
538,D01
538,X01
602,D01
602,D14
602,D15
602,X78
603,D01
603,D14
603,D15
603,X78
604,D01
604,D14
604,D15
604,X78
605,D01
605,D14
605,D15
605,X78
606,D01
606,D14
606,D15
606,X78
607,D01
607,D14
607,D15
607,X78
608,D01
608,D14
608,D15
608,X78
609,D01
609,D14
609,D15
609,X78
610,D01
610,D14
610,D15
610,X78
611,D01
611,D14
611,D15
611,X78
614,D01
614,D14
614,D15
614,X78
615,D01
615,D14
615,D15
615,X78
616,D01
616,D14
616,D15
616,X78
7220201,D01
7220201,D14
7220201,D15
7220201,X78
7229001,C03
7229001,C04
7229001,D01
7229001,X01
7229008,C03
7229008,C04
7229008,D01
7229008,X01
7229010,A07
7229010,C03
7229010,C19
7229010,D14
7310102,C03
7310102,C04
7310102,D01
7310102,X01
7310301,C03
7310301,C04
7310301,D01
7310301,X01
7320104,D01
7320104,D14
7320104,D15
7320104,X78
7320105,D01
7320105,D14
7320105,D15
7320105,X78
7320107,D01
7320107,D14
7320107,D15
7320107,X78
7320110,D01
7320110,D14
7320110,D15
7320110,X78
7340403,C03
7340403,C04
7340403,D01
7340403,X01
7760101,C03
7760101,C04
7760101,D01
7760101,X01
801,D01
801,D14
801,D15
801,X78
802,D01
802,D14
802,D15
802,X78
7310202,C03
7310202,C04
7310202,D01
7310202,X01
7310205,C03
7310205,C04
7310205,D01
7310205,X01
7220201,Q00
7220202,D01
7220202,D02
7220202,Q00
7220204,D01
7220204,D04
7860231,A00
7860231,A01
7860231,Q00
7310206,D01
7220204,Q00
7310206,Q00
7860218,A00
7860218,A01
7860218,C01
7860218,Q00
7860218,X06
7310101,A01
7310101,D01
7310101,D07
7310101,K00
7310101,Q00
7310101,X25
7310105,A00
7310105,A01
7310105,D01
7310105,D07
7310105,K00
7310105,Q00
7310106,A00
7310106,A01
7310106,D01
7310106,D07
7310106,K00
7310106,Q00
7310112,A00
7310112,A01
7310112,C01
7310112,D01
7310205,C00
7310205,C14
7310205,K00
7310205,Q00
7310205,X25
7340101,A01
7340101,D01
7340101,D07
7340101,K00
7340101,Q00
7340101,X25
7340201,A01
7340201,D01
7340201,D07
7340201,K00
7340201,Q00
7340201,X25
7340301,A00
7340301,A01
7340301,D01
7340301,D07
7340301,K00
7340301,Q00
7380107,A01
7380107,C00
7380107,D01
7380107,K00
7380107,Q00
7380107,X25
7220201,A01
7220201,D07
7220201,D09
7220201,K00
7310109,A00
7310109,A01
7310109,D01
7310109,D07
7310109,K00
7310109,Q00
7310106_CLC,A00
7310106_CLC,A01
7310106_CLC,D01
7310106_CLC,D07
7310106_CLC,K00
7310106_CLC,Q00
7340201_CLC,A01
7340201_CLC,D01
7340201_CLC,D07
7340201_CLC,K00
7340201_CLC,Q00
7340201_CLC,X25
7310106_1,A01
7310106_1,D01
7310106_1,D07
7310106_1,K00
7310106_1,Q00
7310106_1,X25
7340101_1,A01
7340101_1,D01
7340101_1,D07
7340101_1,K00
7340101_1,Q00
7340101_1,X25
7340201_1,A01
7340201_1,D01
7340201_1,D07
7340201_1,K00
7340201_1,Q00
7340201_1,X25
7310106_2,A00
7310106_2,A01
7310106_2,D01
7310106_2,D07
7310106_2,K00
7310106_2,Q00
7310206,C00
7340115_2,A01
7340115_2,D01
7340115_2,D07
7340115_2,K00
7340115_2,Q00
7340115_2,X25
7340201_2,A01
7340201_2,D01
7340201_2,D07
7340201_2,K00
7340201_2,Q00
7340201_2,X25
7320104,A00
7320104,A01
7320104,K00
7320104,Q00
7320104,X06
7320104,X26
7329001,A00
7329001,A01
7329001,D01
7329001,K00
7329001,Q00
7329001,X06
7329001,X26
7340101,A00
7340101,X06
7340101,X26
7340115,A00
7340115,A01
7340115,D01
7340115,K00
7340115,Q00
7340115,X06
7340115,X26
