code,name,field_code,description
52480203,Công nghệ đa phương tiện,khac,
530,"Chính trị học, chuyên ngành Công tác tư tưởng - văn hóa",khac,
531,"Chính trị học, chuyên ngành Chính trị phát triển",khac,
533,"Chính trị học, chuyên ngành Tư tưởng Hồ Chí Minh",khac,
535,"Chính trị học, chuyên ngành Văn hóa phát triển",khac,
536,"Chính trị học, chuyên ngành Chính sách công",khac,
610,"Quan hệ quốc tế, chuyên ngành Thông tin đối ngoại",khac,
615,"Quan hệ công chúng, chuyên ngành Quan hệ công chúng chuyên nghiệp",khac,
618,"Quan hệ công chúng, chuyên ngành Quảng cáo",khac,
801,"Xuất bản, chuyên ngành Biên tập xuất bản",khac,
802,"Xuất bản, chuyên ngành Xuất bản điện tử",khac,
ACT04,Kiểm toán,khac,
ACT05,Chất lượng cao Kiểm toán,khac,
AI,Trí tuệ Nhân tạo,khac,
BIO2,Công Nghệ Mỹ Phẩm*,khac,
BUS05,Marketing,khac,
BUS06,Chất lượng cao Marketing số,khac,
BUS07,Marketing,khac,
BUS08,Chất lượng cao Quản trị nhân lực,khac,
BUS09,Chất lượng cao Kinh doanh số,khac,
BUS11,"Marketing - Đại học West of England (UWE), Anh (Cấp song bằng)",khac,
CB,Tiếng Trung Thương mại *,khac,
CHE2,Công Nghệ Pin Xe Điện*,khac,
CL,Ngôn ngữ Trung Quốc,khac,
CLC1-04,(4) Bảo hiểm tích hợp chứng chỉ ANZIIF,khac,
CLC2-02,(2) Quản trị nhân lực,khac,
CLC2-04,(4) Quan hệ công chúng,khac,
CLC3-02,(2) Marketing số,khac,
CLC3-03,(3) Quản trị Marketing,khac,
CLC3-07,(7) Thương mại điện tử,khac,
CLC3-08,(8) Kiểm toán tích hợp chứng chỉ ACCA,khac,
CN12,Trí tuệ nhân tạo,khac,
CN14,Hệ thống thông tin,khac,
CN18,Thiết kế công nghiệp và Đồ họa,khac,
DA,Thiết kế Mỹ thuật số *,khac,
DEN1,Răng - Hàm - Mặt,khac,
ED5,Tâm lý học công nghiệp và tổ chức (mới),khac,
EM,Thương mại Điện tử,khac,
EM1,Quản lý Năng lượng,khac,
EM1x,Quản lý Năng lượng,khac,
EM1y,Quản lý Năng lượng,khac,
EP01,Khởi nghiệp và phát triển kinh doanh (BBAE),khac,
EP05,Kinh doanh số (E-BDB),khac,
EP07,Quản trị điều hành thông minh (E-SOM),khac,
EP08,Quản trị chất lượng và Đổi mới (E-MQI),khac,
EP12,Kiểm toán tích hợp chứng chỉ quốc tế (ICAEW CFAB),khac,
EP16,Trí tuệ nhân tạo,khac,
EP18,Quản trị giải trí và sự kiện,khac,
EP19,Công nghệ Marketing,khac,
EP21,Kiểm toán nội bộ,khac,
EP25,Phát triển quốc tế,khac,
EP27,Quản trị công nghiệp sáng tạo,khac,
EP28,Quản trị nhân lực quốc tế,khac,
EP29,Quản trị rủi ro định lượng,khac,
EP30,Toán ứng dụng (dự kiến),khac,
EP31,Thẩm định giá,khac,
EP32,Thống kê và Trí tuệ kinh doanh,khac,
EPMP,Quản lý công và Chính sách (E-PMP),khac,
F0S1,Đông Phương Học,khac,
FBE12,Kinh Doanh Thương Mại*,khac,
FBE4,Quản Trị Nhân Lực,khac,
FBE5,Kiểm Toán,khac,
FIDT10,Quan Hệ Công Chúng*,khac,
FIDT3,Thương Mại Điện Tử,khac,
FIDT5,Marketing (Công Nghệ Marketing),khac,
FL3,Tiếng Trung KH&CN,khac,
FL4,Tiếng Hàn KH&CN (mới),khac,
FLC1,Ngôn Ngữ Trung Quốc,khac,
FLE1,Ngôn Ngữ Anh,khac,
FLF1,Ngôn Ngữ Pháp,khac,
FLJ1,Ngôn Ngữ Nhật,khac,
FLK1,Ngôn Ngữ Hàn Quốc,khac,
FOS1,Đông Phương Học,khac,
FOS2,Việt Nam Học*,khac,
FTME,Y Học Cổ Truyền,khac,
GA,Đồ họa Game,khac,
GD,Thiết kế Đồ họa,khac,
GTADCAI2,Trí tuệ nhân tạo,khac,
GTADCAI3,Trí tuệ nhân tạo,khac,
GTADCAI4,Trí tuệ nhân tạo,khac,
GTADCAI5,Trí tuệ nhân tạo,khac,
GTADCAI6,Trí tuệ nhân tạo,khac,
GTADCAI7,Trí tuệ nhân tạo,khac,
GTADCAT2,An toàn dữ liệu và an ninh mạng,khac,
GTADCBI2,Mô hình thông tin công trình giao thông (BIM),khac,
GTADCBM2,Mô hình thông tin công trình (BIM) trong dự án HTGT,khac,
GTADCCH2,Hạ tầng giao thông đô thị thông minh,khac,
GTADCCI2,Thương mại quốc tế,khac,
GTADCEN2,Ngôn ngữ Anh,khac,
GTADCHS2,Đường sắt tốc độ cao,khac,
GTADCHT2,Hệ thống thông tin,khac,
GTADCKS2,Kinh doanh số,khac,
GTADCMA2,Marketing,khac,
GTADCMS2,Digital Marketing,khac,
GTADCQM2,Quản trị Marketing,khac,
GTADCQT2,Quản trị doanh nghiệp,khac,
GTADCTD2,Thương mại điện tử,khac,
GTADCTG2,Trí tuệ nhân tạo và giao thông thông minh,khac,
GTADCTQ2,Thanh tra và quản lý công trình giao thông,khac,
