code,name,field_code,description
522,Xây dựng Đảng và chính quyền nhà nước,khoa_hoc_xa_hoi,
523,Xây dựng Đảng và chính quyền nhà nước,khoa_hoc_xa_hoi,
52480203,Công nghệ đa phương tiện,khac,
527,"Kinh tế, chuyên ngành Quản lý kinh tế",kinh_te,
528,"Kinh tế, chuyên ngành Kinh tế và Quản lý (chất lượng cao)",kinh_te,
529,"Kinh tế, chuyên ngành Kinh tế và Quản lý",kinh_te,
530,"Chính trị học, chuyên ngành Công tác tư tưởng - văn hóa",khac,
531,"Chính trị học, chuyên ngành Chính trị phát triển",khac,
532,Quản lý nhà nước,khoa_hoc_xa_hoi,
533,"Chính trị học, chuyên ngành Tư tưởng Hồ Chí Minh",khac,
535,"Chính trị học, chuyên ngành Văn hóa phát triển",khac,
536,"Chính trị học, chuyên ngành Chính sách công",khac,
537,Quản lý nhà nước,khoa_hoc_xa_hoi,
538,"Chính trị học, chuyên ngành Truyền thông chính sách",truyen_thong,
602,"Báo chí, chuyên ngành Báo in",truyen_thong,
603,"Báo chí, chuyên ngành Ảnh báo chí",truyen_thong,
604,"Báo chí, chuyên ngành Báo phát thanh",truyen_thong,
605,"Báo chí, chuyên ngành Báo truyền hình",truyen_thong,
606,"Báo chí, chuyên ngành Quay phim truyền hình",truyen_thong,
607,"Báo chí, chuyên ngành Báo mạng điện tử",truyen_thong,
608,"Báo chí, chuyên ngành Báo truyền hình",truyen_thong,
609,"Báo chí, chuyên ngành Báo mạng điện tử",truyen_thong,
610,"Quan hệ quốc tế, chuyên ngành Thông tin đối ngoại",khac,
611,"Quan hệ quốc tế, chuyên ngành Quan hệ chính trị và Truyền thông quốc tế",truyen_thong,
614,"Quan hệ quốc tế, chuyên ngành Quan hệ quốc tế và Truyền thông toàn cầu",truyen_thong,
615,"Quan hệ công chúng, chuyên ngành Quan hệ công chúng chuyên nghiệp",khac,
616,"Quan hệ công chúng, chuyên ngành Truyền thông marketing",truyen_thong,
618,"Quan hệ công chúng, chuyên ngành Quảng cáo",khac,
7140101,Giáo dục học,giao_duc,
7140103,Công nghệ giáo dục,giao_duc,
7140114,Quản lí giáo dục,giao_duc,
7140114C,Quản lí giáo dục,giao_duc,
7140114D,Quản lí giáo dục,giao_duc,
7140201,Giáo dục Mầm non,giao_duc,
7140201A,Giáo dục Mầm non,giao_duc,
7140201B,Giáo dục Mầm non,giao_duc,
7140201C,Giáo dục Mầm non,giao_duc,
7140201K,Giáo dục Mầm non - Sư phạm Tiếng Anh,giao_duc,
7140202,Giáo dục Tiểu học,giao_duc,
7140202A,Giáo dục Tiểu học,giao_duc,
7140202B,Giáo dục Tiểu học,giao_duc,
7140202C,Giáo dục Tiểu học,giao_duc,
7140202D,Giáo dục Tiểu học,giao_duc,
7140202K,Giáo dục Tiểu học - Sư phạm Tiếng Anh,giao_duc,
7140203,Giáo dục đặc biệt,giao_duc,
7140203C,Giáo dục đặc biệt,giao_duc,
7140203D,Giáo dục đặc biệt,giao_duc,
7140204,Giáo dục công dân,giao_duc,
7140204B,Giáo dục công dân,giao_duc,
7140204C,Giáo dục công dân,giao_duc,
7140205,Giáo dục chính trị,giao_duc,
7140205B,Giáo dục chính trị,giao_duc,
7140205C,Giáo dục chính trị,giao_duc,
7140206,Giáo dục Thể chất,giao_duc,
7140206A,Giáo dục thể chất,giao_duc,
7140208,Giáo dục Quốc phòng và An ninh,giao_duc,
7140208C,Giáo dục Quốc phòng và An ninh,giao_duc,
7140208D,Giáo dục Quốc phòng và An ninh,giao_duc,
7140209,Sư phạm Toán học,giao_duc,
7140209A,Sư phạm Toán học,giao_duc,
7140209B,Sư phạm Toán học,giao_duc,
7140209C,Sư phạm Toán học,giao_duc,
7140209D,Sư phạm Toán học,giao_duc,
7140209K,Sư phạm Toán học (dạy Toán bằng tiếng Anh),giao_duc,
7140210,Sư phạm Tin học,giao_duc,
7140210A,Sư phạm Tin học,giao_duc,
7140210B,Sư phạm Tin học,giao_duc,
7140210K,Sư phạm Tin học (dạy bằng Tiếng Anh),giao_duc,
7140211,Sư phạm Vật lí,giao_duc,
7140211A,Sư phạm Vật lí,giao_duc,
7140211B,Sư phạm Vật lí,giao_duc,
7140211C,Sư phạm Vật lí,giao_duc,
7140211D,Sư phạm Vật lí,giao_duc,
