admission_option_id,subject_group_code
7704fb03-20de-5ad9-8e01-992840eea364,A00
7704fb03-20de-5ad9-8e01-992840eea364,A01
7704fb03-20de-5ad9-8e01-992840eea364,X26
7704fb03-20de-5ad9-8e01-992840eea364,X27
7704fb03-20de-5ad9-8e01-992840eea364,X28
eef0e038-eb1d-5123-a6ff-f0f5d62d8387,A00
eef0e038-eb1d-5123-a6ff-f0f5d62d8387,A01
eef0e038-eb1d-5123-a6ff-f0f5d62d8387,C03
eef0e038-eb1d-5123-a6ff-f0f5d62d8387,D01
eef0e038-eb1d-5123-a6ff-f0f5d62d8387,X02
eef0e038-eb1d-5123-a6ff-f0f5d62d8387,X03
eef0e038-eb1d-5123-a6ff-f0f5d62d8387,X04
d0a69d5a-a63d-5909-92b3-630882e9b425,A00
d0a69d5a-a63d-5909-92b3-630882e9b425,A01
d0a69d5a-a63d-5909-92b3-630882e9b425,C03
d0a69d5a-a63d-5909-92b3-630882e9b425,D01
d0a69d5a-a63d-5909-92b3-630882e9b425,X02
d0a69d5a-a63d-5909-92b3-630882e9b425,X03
d0a69d5a-a63d-5909-92b3-630882e9b425,X04
2636163a-2891-5fbc-a873-e20822065eff,A00
2636163a-2891-5fbc-a873-e20822065eff,A01
2636163a-2891-5fbc-a873-e20822065eff,X26
2636163a-2891-5fbc-a873-e20822065eff,X27
2636163a-2891-5fbc-a873-e20822065eff,X28
7b9d20bf-bae6-5910-8750-61432852c6aa,A00
7b9d20bf-bae6-5910-8750-61432852c6aa,A01
7b9d20bf-bae6-5910-8750-61432852c6aa,X26
7b9d20bf-bae6-5910-8750-61432852c6aa,X27
7b9d20bf-bae6-5910-8750-61432852c6aa,X28
3eb3b9de-8682-552a-a176-a737bed0953e,A00
3eb3b9de-8682-552a-a176-a737bed0953e,A01
3eb3b9de-8682-552a-a176-a737bed0953e,X26
3eb3b9de-8682-552a-a176-a737bed0953e,X27
3eb3b9de-8682-552a-a176-a737bed0953e,X28
3a6c1de5-a828-5572-a667-c15c194b854a,A00
3a6c1de5-a828-5572-a667-c15c194b854a,A01
3a6c1de5-a828-5572-a667-c15c194b854a,X26
3a6c1de5-a828-5572-a667-c15c194b854a,X27
3a6c1de5-a828-5572-a667-c15c194b854a,X28
d595c696-a66a-5b22-afee-16b7e28b3574,A00
d595c696-a66a-5b22-afee-16b7e28b3574,A01
d595c696-a66a-5b22-afee-16b7e28b3574,D01
d595c696-a66a-5b22-afee-16b7e28b3574,X06
d595c696-a66a-5b22-afee-16b7e28b3574,X10
d595c696-a66a-5b22-afee-16b7e28b3574,X26
ccfe803f-cc81-5c87-bab8-f3da1e5649e4,A00
ccfe803f-cc81-5c87-bab8-f3da1e5649e4,A01
ccfe803f-cc81-5c87-bab8-f3da1e5649e4,D01
ccfe803f-cc81-5c87-bab8-f3da1e5649e4,D07
ccfe803f-cc81-5c87-bab8-f3da1e5649e4,X06
ccfe803f-cc81-5c87-bab8-f3da1e5649e4,X10
ccfe803f-cc81-5c87-bab8-f3da1e5649e4,X26
99ad97a4-0530-5cfd-a0c3-31d342946241,K00
8fe3ce73-cb02-5b07-b987-d32472efbc87,A00
8fe3ce73-cb02-5b07-b987-d32472efbc87,B00
8fe3ce73-cb02-5b07-b987-d32472efbc87,B03
8fe3ce73-cb02-5b07-b987-d32472efbc87,C01
8fe3ce73-cb02-5b07-b987-d32472efbc87,C02
8fe3ce73-cb02-5b07-b987-d32472efbc87,D07
8fe3ce73-cb02-5b07-b987-d32472efbc87,X02
be8127ee-dbe3-5803-b363-10b65c42d5f3,K00
0f1cf5c9-843b-5689-b707-8c9b42edc60b,A00
0f1cf5c9-843b-5689-b707-8c9b42edc60b,B00
0f1cf5c9-843b-5689-b707-8c9b42edc60b,B03
0f1cf5c9-843b-5689-b707-8c9b42edc60b,C01
0f1cf5c9-843b-5689-b707-8c9b42edc60b,C02
0f1cf5c9-843b-5689-b707-8c9b42edc60b,D07
0f1cf5c9-843b-5689-b707-8c9b42edc60b,X02
12518106-66d9-5ae0-bdfa-c75dcc307857,K00
eaf1af46-96be-5af5-8e6e-93547339f9ee,A00
eaf1af46-96be-5af5-8e6e-93547339f9ee,B00
eaf1af46-96be-5af5-8e6e-93547339f9ee,B03
eaf1af46-96be-5af5-8e6e-93547339f9ee,C01
