id,university_short_name,major_code,program_source_code,program_name,quota,missing_reason,base_program_code,source,source_school_id,is_active
5d7e674e-108b-5c00-8544-e0f2486f2576,ANH,7480201_Nam,7480201_Nam,Ngành Công nghệ thông tin (Thí sinh Nam),,Thiếu quota trong course_catalog,7480201_Nam,tuyensinh247,221,true
7d12022c-1206-5b0f-bddb-de1fed9d451a,ANH,7480202,7480202,An toàn thông tin,,Dữ liệu quá khứ (Mã nhánh/Biến thể),DS7480202,tuyensinh247,221,false
eb8599a4-b679-5ad6-a587-cb9677c9b7b5,ANH,7860100,7860100,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, miền Bắc)",,Dữ liệu quá khứ (Mã nhánh/Biến thể),7860100_Nam_B,tuyensinh247,221,false
c4de9de9-0422-51ac-b4a3-34da7c363ee8,ANH,7860100_Nam_B,7860100_Nam_B,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, miền Bắc)",,Thiếu quota trong course_catalog,7860100_Nam_B,tuyensinh247,,true
601c59eb-f8f6-5a91-82dc-cd8ef716da06,ANH,7860100_Nu_B,7860100_Nu_B,"Ngành Nghiệp vụ an ninh (Thí sinh Nữ, miền Bắc)",,Thiếu quota trong course_catalog,7860100_Nu_B,tuyensinh247,,true
77a27e8f-45e8-5b5f-877d-523baf507871,ANH,7860114_Nam_B,7860114_Nam_B,"Ngành An ninh mạng và phòng chống tội phạm công nghệ cao (Thí sinh Nam, miền Bắc)",,Thiếu quota trong course_catalog,7860114_Nam_B,tuyensinh247,221,true
bd5945c9-74af-5ff3-9d79-defd673415d2,ANH,7860114_Nam_N,7860114_Nam_N,"Ngành An ninh mạng và phòng chống tội phạm công nghệ cao (Thí sinh Nam, miền Nam)",,Thiếu quota trong course_catalog,7860114_Nam_N,tuyensinh247,221,true
33bfb6e7-a52e-53c0-8b13-205db03fb959,ANH,7860114_Nu_B,7860114_Nu_B,"Ngành An ninh mạng và phòng chống tội phạm công nghệ cao (Thí sinh Nữ, miền Bắc)",,Thiếu quota trong course_catalog,7860114_Nu_B,tuyensinh247,221,true
1540952d-cbbc-5d8d-bea3-9331fa3c2c75,ANH,7860114_Nu_N,7860114_Nu_N,"Ngành An ninh mạng và phòng chống tội phạm công nghệ cao (Thí sinh Nữ, miền Nam)",,Thiếu quota trong course_catalog,7860114_Nu_N,tuyensinh247,221,true
66852d40-0a71-5638-bb93-c70d36d85591,ANH,DS7480201,DS7480201,Công nghệ thông tin,50,,DS7480201,tuyensinh247,,true
bd54c85a-79d3-503c-a17a-484ac9f81d81,ANH,DS7480202,DS7480202,An toàn thông tin,50,,DS7480202,tuyensinh247,,true
96c3d097-7e14-557f-b4c8-ee15ff57a63f,BKA,BF-E12,BF-E12,Kỹ thuật Thực phẩm (CT tiên tiến),60,,BF-E12,tuyensinh247,302,true
b3f5f257-69fc-5b51-b208-52b5dd39e9d1,BKA,BF-E12x,BF-E12x,Kỹ thuật Thực phẩm (CT tiên tiến),,Dữ liệu quá khứ (Mã nhánh/Biến thể),BF-E12,tuyensinh247,302,false
6fd373ce-0b23-564e-ba08-dd207e4d6848,BKA,BF-E12y,BF-E12y,Kỹ thuật Thực phẩm (CT tiên tiến),,Dữ liệu quá khứ (Mã nhánh/Biến thể),BF-E12,tuyensinh247,302,false
c662002c-0685-558e-8d21-d39354a511cd,BKA,BF-E19,BF-E19,Kỹ thuật sinh học (CT tiên tiến),60,,BF-E19,tuyensinh247,302,true
df290692-8b06-5125-b8f5-96c7a2fba6ab,BKA,BF1,BF1,Kỹ thuật Sinh học,160,,BF1,tuyensinh247,302,true
a8e5d8e3-9e41-594a-92ca-2d71362a0950,BKA,BF1x,BF1x,Kỹ thuật Sinh học,,Dữ liệu quá khứ (Mã nhánh/Biến thể),BF1,tuyensinh247,302,false
f19be27f-e548-52fb-a027-5085a687f488,BKA,BF1y,BF1y,Kỹ thuật Sinh học,,Dữ liệu quá khứ (Mã nhánh/Biến thể),BF1,tuyensinh247,302,false
0a9b0a80-ea8c-58bb-8871-c9b82309b3c8,BKA,BF2,BF2,Kỹ thuật Thực phẩm,360,,BF2,tuyensinh247,302,true
0a8860f6-fe28-5d3d-9162-be9016f6e3f5,BKA,BF2x,BF2x,Kỹ thuật Thực phẩm,,Dữ liệu quá khứ (Mã nhánh/Biến thể),BF2,tuyensinh247,302,false
33a82925-e0a0-5eab-8b59-39b8e91a2d33,BKA,BF2y,BF2y,Kỹ thuật Thực phẩm,,Dữ liệu quá khứ (Mã nhánh/Biến thể),BF2,tuyensinh247,302,false
659f873a-d3a5-5b47-8468-6c09168f56a0,BKA,CH-E11,CH-E11,Kỹ thuật Hóa dược (CT tiên tiến),100,,CH-E11,tuyensinh247,302,true
5b4c7467-adbf-5eb4-857f-1512d1c751a9,BKA,CH-E11x,CH-E11x,Kỹ thuật Hóa dược (CT tiên tiến),,Dữ liệu quá khứ (Mã nhánh/Biến thể),CH-E11,tuyensinh247,302,false
d5ba6897-a3a0-51dd-a399-f2a0f48c17cf,BKA,CH-E11y,CH-E11y,Kỹ thuật Hóa dược (CT tiên tiến),,Dữ liệu quá khứ (Mã nhánh/Biến thể),CH-E11,tuyensinh247,302,false
a00687fa-dfbc-516a-bfa9-47f1b6a14e2e,BKA,CH-E20,CH-E20,Hóa học Mỹ phẩm (mới) (CT tiên tiến),40,,CH-E20,tuyensinh247,,true
3242531a-ec0f-5de6-940c-3f801877dd9e,BKA,CH1,CH1,Kỹ thuật Hóa học,680,,CH1,tuyensinh247,302,true
6597ae2a-de39-5b42-bc89-bfdbd3d894df,BKA,CH1Y,CH1Y,Kỹ thuật Hóa học,,Dữ liệu quá khứ (Mã nhánh/Biến thể),CH1,tuyensinh247,302,false
6cec242a-153e-5fe0-af06-7d519d018bb1,BKA,CH1x,CH1x,Kỹ thuật Hóa học,,Dữ liệu quá khứ (Mã nhánh/Biến thể),CH1,tuyensinh247,302,false
c3c3e4a3-fa08-5881-b290-33ed42a1b4dc,BKA,CH2,CH2,Hóa học,160,,CH2,tuyensinh247,302,true
a7c9e3c9-731e-5329-a8d5-68046eb81cf2,BKA,CH2x,CH2x,Hóa học,,Dữ liệu quá khứ (Mã nhánh/Biến thể),CH2,tuyensinh247,302,false
120817e2-3011-5ff0-b2cc-5a173a4728f5,BKA,CH2y,CH2y,Hóa học,,Dữ liệu quá khứ (Mã nhánh/Biến thể),CH2,tuyensinh247,302,false
8a15cf55-498c-5935-80a1-1cbca92fbbfe,BKA,CH3,CH3,Kỹ thuật In,,Dữ liệu quá khứ (Mã nhánh/Biến thể),MS5,tuyensinh247,302,false
c3b4aba8-fe15-56b3-a5e4-6c90538851b5,BKA,CH3x,CH3x,Kỹ thuật In,,Dữ liệu quá khứ (Mã nhánh/Biến thể),MS5,tuyensinh247,302,false
