university_short_name,program_source_code,major_name_from_score,year,reason
ANH,7720101,Y khoa,2021,program_code không có trong course_catalog
ANH,7720101_Nam,Ngành Y khoa (gửi đào tạo tại Học viện Quân y),2024,program_code không có trong course_catalog
ANH,7720101_Nu,Ngành Y khoa (gửi đào tạo tại Học viện Quân y),2024,program_code không có trong course_catalog
ANH,7860100_Nam_1,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, vùng 1)",2025,program_code không có trong course_catalog
ANH,7860100_Nam_2,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, vùng 2)",2025,program_code không có trong course_catalog
ANH,7860100_Nam_3,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, vùng 3)",2025,program_code không có trong course_catalog
ANH,7860100_Nam_8,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, vùng 8)",2025,program_code không có trong course_catalog
ANH,7860100_Nu_1,"Ngành Nghiệp vụ an ninh (Thí sinh Nữ, vùng 1)",2025,program_code không có trong course_catalog
ANH,7860100_Nu_2,"Ngành Nghiệp vụ an ninh (Thí sinh Nữ, vùng 2)",2025,program_code không có trong course_catalog
ANH,7860100_Nu_3,"Ngành Nghiệp vụ an ninh (Thí sinh Nữ, vùng 3)",2025,program_code không có trong course_catalog
ANH,7860100_Nu_8,"Ngành Nghiệp vụ an ninh (Thí sinh Nữ, vùng 8)",2025,program_code không có trong course_catalog
HBT,528,"Kinh tế, chuyên ngành Kinh tế và Quản lý (chất lượng cao)",2021,program_code không có trong course_catalog
HBT,529,"Kinh tế, chuyên ngành Kinh tế và Quản lý",2021,program_code không có trong course_catalog
HBT,535,"Chính trị học, chuyên ngành Văn hóa phát triển",2021,program_code không có trong course_catalog
HBT,536,"Chính trị học, chuyên ngành Chính sách công",2021,program_code không có trong course_catalog
HBT,"528, 528M","Kinh tế, chuyên ngành Kinh tế và Quản lý (chất lượng cao)",2022,program_code không có trong course_catalog
HBT,"529, 529M","Kinh tế, chuyên ngành Kinh tế và Quản lý",2022,program_code không có trong course_catalog
HBT,"535, 535M","Chính trị học, chuyên ngành Văn hóa phát triển",2022,program_code không có trong course_catalog
HBT,"536, 536M","Chính trị học, chuyên ngành Chính sách công",2022,program_code không có trong course_catalog
HEH,7860218_Nu_B_A00,Ngành Hậu cần Quân sự,2024,program_code không có trong course_catalog
HEH,7860218_Nu_B_A01,Ngành Hậu cần Quân sự,2024,program_code không có trong course_catalog
HEH,7860218_Nu_N_A00,Ngành Hậu cần Quân sự,2024,program_code không có trong course_catalog
HEH,7860218_Nu_N_A01,Ngành Hậu cần Quân sự,2024,program_code không có trong course_catalog
HEH,7860218_Nu_B,Ngành Hậu cần Quân sự,2024,program_code không có trong course_catalog
