id,university_short_name,major_code,program_source_code,program_name,quota,missing_reason,base_program_code,source,source_school_id,is_active
7d12022c-1206-5b0f-bddb-de1fed9d451a,ANH,7480202,7480202,An toàn thông tin,,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),DS7480202,tuyensinh247,221,true
d1ec4afa-3f7e-5997-b1be-f886ac2cb177,ANH,7720101,7720101,Y khoa,,"3. Dữ liệu quá khứ (Ngành đã khai tử, năm nay không tuyển)",,tuyensinh247,221,true
6c024fa1-e7ea-584a-a56e-51e7a8cf2426,ANH,7720101,7720101_Nam,Ngành Y khoa (gửi đào tạo tại Học viện Quân y),,"3. Dữ liệu quá khứ (Ngành đã khai tử, năm nay không tuyển)",,tuyensinh247,221,true
90d2531d-e8f7-5476-aac7-99949174512b,ANH,7720101,7720101_Nu,Ngành Y khoa (gửi đào tạo tại Học viện Quân y),,"3. Dữ liệu quá khứ (Ngành đã khai tử, năm nay không tuyển)",,tuyensinh247,221,true
eb8599a4-b679-5ad6-a587-cb9677c9b7b5,ANH,7860100,7860100,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, miền Bắc)",,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),7860100_Nam_B,tuyensinh247,221,true
ad52afe3-fcb2-5eed-bcf4-bc42a5a598b9,ANH,7860100,7860100_Nam_1,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, miền Bắc)",,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),7860100_Nam_B,tuyensinh247,221,true
ba41c773-892c-5f67-a341-37a751f5cb4f,ANH,7860100,7860100_Nam_2,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, miền Bắc)",,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),7860100_Nam_B,tuyensinh247,221,true
617f8b1a-f422-5250-8894-ddf055cab0a4,ANH,7860100,7860100_Nam_3,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, miền Bắc)",,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),7860100_Nam_B,tuyensinh247,221,true
b7c6304d-6631-54b3-b981-08cf086f9332,ANH,7860100,7860100_Nam_8,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, miền Bắc)",,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),7860100_Nam_B,tuyensinh247,221,true
1791793f-56cd-53fa-a384-fa950cc7b46a,ANH,7860100,7860100_Nu_1,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, miền Bắc)",,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),7860100_Nam_B,tuyensinh247,221,true
17292546-3f48-5f65-8034-b90a76f42df4,ANH,7860100,7860100_Nu_2,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, miền Bắc)",,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),7860100_Nam_B,tuyensinh247,221,true
40c7c556-8058-5497-963e-106de7826a82,ANH,7860100,7860100_Nu_3,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, miền Bắc)",,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),7860100_Nam_B,tuyensinh247,221,true
35739d76-7b9f-50b1-9dec-1146e80ecb53,ANH,7860100,7860100_Nu_8,"Ngành Nghiệp vụ an ninh (Thí sinh Nữ, vùng 8)",,"3. Dữ liệu quá khứ (Ngành đã khai tử, năm nay không tuyển)",,tuyensinh247,221,true
b3f5f257-69fc-5b51-b208-52b5dd39e9d1,BKA,BF-E12x,BF-E12x,Kỹ thuật Thực phẩm (CT tiên tiến),,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),BF-E12,tuyensinh247,302,true
6fd373ce-0b23-564e-ba08-dd207e4d6848,BKA,BF-E12y,BF-E12y,Kỹ thuật Thực phẩm (CT tiên tiến),,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),BF-E12,tuyensinh247,302,true
a8e5d8e3-9e41-594a-92ca-2d71362a0950,BKA,BF1x,BF1x,Kỹ thuật Sinh học,,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),BF1,tuyensinh247,302,true
f19be27f-e548-52fb-a027-5085a687f488,BKA,BF1y,BF1y,Kỹ thuật Sinh học,,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),BF1,tuyensinh247,302,true
0a8860f6-fe28-5d3d-9162-be9016f6e3f5,BKA,BF2x,BF2x,Kỹ thuật Thực phẩm,,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),BF2,tuyensinh247,302,true
33a82925-e0a0-5eab-8b59-39b8e91a2d33,BKA,BF2y,BF2y,Kỹ thuật Thực phẩm,,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),BF2,tuyensinh247,302,true
5b4c7467-adbf-5eb4-857f-1512d1c751a9,BKA,CH-E11x,CH-E11x,Kỹ thuật Hóa dược (CT tiên tiến),,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),CH-E11,tuyensinh247,302,true
d5ba6897-a3a0-51dd-a399-f2a0f48c17cf,BKA,CH-E11y,CH-E11y,Kỹ thuật Hóa dược (CT tiên tiến),,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),CH-E11,tuyensinh247,302,true
6597ae2a-de39-5b42-bc89-bfdbd3d894df,BKA,CH1Y,CH1Y,Kỹ thuật Hóa học,,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),CH1,tuyensinh247,302,true
6cec242a-153e-5fe0-af06-7d519d018bb1,BKA,CH1x,CH1x,Kỹ thuật Hóa học,,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),CH1,tuyensinh247,302,true
a7c9e3c9-731e-5329-a8d5-68046eb81cf2,BKA,CH2x,CH2x,Hóa học,,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),CH2,tuyensinh247,302,true
120817e2-3011-5ff0-b2cc-5a173a4728f5,BKA,CH2y,CH2y,Hóa học,,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),CH2,tuyensinh247,302,true
8a15cf55-498c-5935-80a1-1cbca92fbbfe,BKA,CH3,CH3,Kỹ thuật In,,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),MS5,tuyensinh247,302,true
c3b4aba8-fe15-56b3-a5e4-6c90538851b5,BKA,CH3x,CH3x,Kỹ thuật In,,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),MS5,tuyensinh247,302,true
6f151169-56a3-58d5-9226-df05fcda7ce4,BKA,CH3y,CH3y,Kỹ thuật In,,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),MS5,tuyensinh247,302,true
1be5cfb0-bce7-5010-86c6-fc1be6f001a6,BKA,ED2x,ED2x,Công nghệ Giáo dục,,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),ED2,tuyensinh247,302,true
aa1dd761-0dc2-5fe0-a6dc-042632c2292f,BKA,ED2y,ED2y,Công nghệ Giáo dục,,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),ED2,tuyensinh247,302,true
dc072043-005d-5b64-a75e-83659fdb36a8,BKA,EE-E18x,EE-E18x,Hệ thống điện và năng lượng tái tạo (CT tiên tiến),,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),EE-E18,tuyensinh247,302,true
f5f0622d-c174-598f-a8cc-c2ce3c55463a,BKA,EE-E18y,EE-E18y,Hệ thống điện và năng lượng tái tạo (CT tiên tiến),,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),EE-E18,tuyensinh247,302,true
7a0e9217-bd0f-5a54-b9d5-5ad2c7d6ee22,BKA,EE-E8x,EE-E8x,Kỹ thuật điều khiển-Tự động hóa (CT tiên tiến),,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),EE-E8,tuyensinh247,302,true
503ad278-66e1-52c1-997c-48a7393cbc21,BKA,EE-E8y,EE-E8y,Kỹ thuật điều khiển-Tự động hóa (CT tiên tiến),,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),EE-E8,tuyensinh247,302,true
635ac80e-d2a2-5e48-8e86-b5f3ef903358,BKA,EE-Epx,EE-Epx,Tin học công nghiệp và Tự động hóa (Chương trình Việt - Pháp PFIEV),,"3. Dữ liệu quá khứ (Ngành đã khai tử, năm nay không tuyển)",,tuyensinh247,302,true
5ec41538-de10-5b8a-89c3-f84b8a906d7a,BKA,EE-Epy,EE-Epy,Tin học công nghiệp và Tự động hóa (Chương trình Việt - Pháp PFIEV),,"3. Dữ liệu quá khứ (Ngành đã khai tử, năm nay không tuyển)",,tuyensinh247,302,true
4c828cf2-5615-552e-8306-986b60e0e3d4,BKA,EE1x,EE1x,Kỹ thuật điện,,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),EE1,tuyensinh247,302,true
4084f252-fd19-54d9-8bcb-3272d76c07a2,BKA,EE1y,EE1y,Kỹ thuật điện,,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),EE1,tuyensinh247,302,true
287d7f67-9a5c-533e-9919-cab8b8099b40,BKA,EE2X,EE2X,Kỹ thuật điều khiển & Tự động hóa,,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),EE2,tuyensinh247,302,true
4c529156-f02a-5284-a227-dc0f316a11c0,BKA,EE2y,EE2y,Kỹ thuật điều khiển & Tự động hóa,,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),EE2,tuyensinh247,302,true
e8350870-858f-540c-bef1-212cf57d0311,BKA,EM-E13x,EM-E13x,Phân tích Kinh doanh (CT tiên tiến),,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),EM-E13,tuyensinh247,302,true
289912c6-2f4f-5ebd-92ed-cfbc29d84372,BKA,EM-E13y,EM-E13y,Phân tích Kinh doanh (CT tiên tiến),,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),EM-E13,tuyensinh247,302,true
c9b1190c-28dc-5f6b-a875-8723cde3a245,BKA,EM-E14x,EM-E14x,Logistics và Quản lý chuỗi cung ứng (CT tiên tiến),,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),EM-E14,tuyensinh247,302,true
35c73e2b-ca98-5984-8787-4c76899ee674,BKA,EM-E14y,EM-E14y,Logistics và Quản lý chuỗi cung ứng (CT tiên tiến),,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),EM-E14,tuyensinh247,302,true
8d348a61-5dbd-5ad0-9499-bc60e5e280d6,BKA,EM1x,EM1x,Quản lý Năng lượng,,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),EM1,tuyensinh247,302,true
47ad5d81-d9c1-5106-9aa5-90335551f726,BKA,EM1y,EM1y,Quản lý Năng lượng,,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),EM1,tuyensinh247,302,true
ed424a82-d602-5021-9d8b-3a9869fc9d81,BKA,EM2x,EM2x,Quản lý Công nghiệp,,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),EM2,tuyensinh247,302,true
4abfe38c-32d3-50c2-9209-121c0c547833,BKA,EM2y,EM2y,Quản lý Công nghiệp,,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),EM2,tuyensinh247,302,true
ec318003-b8c5-513e-899b-e21044893ead,BKA,EM3x,EM3x,Quản trị Kinh doanh,,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),EM3,tuyensinh247,302,true
1e6868d0-193c-5cc8-a4eb-bf58117e2e74,BKA,EM3y,EM3y,Quản trị Kinh doanh,,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),EM3,tuyensinh247,302,true
9df6c3c9-6c71-56fb-9c4c-2fa844c5dbdc,BKA,EM4,EM4,Kế toán (mới) (CT tiên tiến),,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),EM-E17,tuyensinh247,302,true
1dbf9300-e672-5df3-9e7b-9f80592928ff,BKA,EM4x,EM4x,Kế toán (mới) (CT tiên tiến),,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),EM-E17,tuyensinh247,302,true
cc2edd99-b483-5a81-9bf0-1700cb02aca4,BKA,EM4y,EM4y,Kế toán (mới) (CT tiên tiến),,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),EM-E17,tuyensinh247,302,true
6085ed58-987e-5217-a795-9ae3f00109fe,BKA,EM5x,EM5x,Tài chính-Ngân hàng,,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),EM5,tuyensinh247,302,true
42f52399-7de8-5585-bf51-df831b40f043,BKA,EM5y,EM5y,Tài chính-Ngân hàng,,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),EM5,tuyensinh247,302,true
be4c3071-81cf-5955-871c-a0e60a15e7d3,BKA,ET-E16x,ET-E16x,Truyền thông số và Kỹ thuật đa phương tiện (CT tiên tiến),,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),ET-E16,tuyensinh247,302,true
7656fbce-5a55-5d1f-924e-690e15d80024,BKA,ET-E16y,ET-E16y,Truyền thông số và Kỹ thuật đa phương tiện (CT tiên tiến),,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),ET-E16,tuyensinh247,302,true
c2cfcd82-2c10-56ee-8515-eba59e616cc0,BKA,ET-E4x,ET-E4x,Kỹ thuật Điện tử - Viễn thông (CT tiên tiến),,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),ET-E4,tuyensinh247,302,true
eed3cc14-8cd8-51df-a932-5db1c6b2e96f,BKA,ET-E4y,ET-E4y,Kỹ thuật Điện tử - Viễn thông (CT tiên tiến),,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),ET-E4,tuyensinh247,302,true
cf0e5f19-7129-5b78-8ee8-dfd0f0ebd9fd,BKA,ET-E5x,ET-E5x,Kỹ thuật Y sinh (CT tiên tiến),,3. Dữ liệu quá khứ (Mã nhánh/Biến thể của hệ thống cũ),ET-E5,tuyensinh247,302,true
