code,name,field_code,description
522,Xây dựng Đảng và chính quyền nhà nước,khoa_hoc_xa_hoi,
523,Xây dựng Đảng và chính quyền nhà nước,khoa_hoc_xa_hoi,
5248020,Công nghệ đa phương tiện,cntt,
527,"Kinh tế, chuyên ngành Quản lý kinh tế",kinh_te,
528,"Kinh tế, chuyên ngành Kinh tế và Quản lý (chất lượng cao)",kinh_te,
529,"Kinh tế, chuyên ngành Kinh tế và Quản lý",kinh_te,
530,"Chính trị học, chuyên ngành Công tác tư tưởng - văn hóa",khoa_hoc_xa_hoi,
531,"Chính trị học, chuyên ngành Chính trị phát triển",khoa_hoc_xa_hoi,
532,Quản lý nhà nước,khoa_hoc_xa_hoi,
533,"Chính trị học, chuyên ngành Tư tưởng Hồ Chí Minh",khoa_hoc_xa_hoi,
535,"Chính trị học, chuyên ngành Văn hóa phát triển",khoa_hoc_xa_hoi,
536,"Chính trị học, chuyên ngành Chính sách công",khoa_hoc_xa_hoi,
537,Quản lý nhà nước,khoa_hoc_xa_hoi,
538,"Chính trị học, chuyên ngành Truyền thông chính sách",truyen_thong,
602,"Báo chí, chuyên ngành Báo in",truyen_thong,
603,"Báo chí, chuyên ngành Ảnh báo chí",truyen_thong,
604,"Báo chí, chuyên ngành Báo phát thanh",truyen_thong,
605,"Báo chí, chuyên ngành Báo truyền hình",truyen_thong,
606,"Báo chí, chuyên ngành Quay phim truyền hình",truyen_thong,
607,"Báo chí, chuyên ngành Báo mạng điện tử",truyen_thong,
608,"Báo chí, chuyên ngành Báo truyền hình",truyen_thong,
609,"Báo chí, chuyên ngành Báo mạng điện tử",truyen_thong,
610,"Quan hệ quốc tế, chuyên ngành Thông tin đối ngoại",truyen_thong,
611,"Quan hệ quốc tế, chuyên ngành Quan hệ chính trị và Truyền thông quốc tế",truyen_thong,
614,"Quan hệ quốc tế, chuyên ngành Quan hệ quốc tế và Truyền thông toàn cầu",truyen_thong,
615,"Quan hệ công chúng, chuyên ngành Quan hệ công chúng chuyên nghiệp",truyen_thong,
616,"Quan hệ công chúng, chuyên ngành Truyền thông marketing",truyen_thong,
618,"Quan hệ công chúng, chuyên ngành Quảng cáo",truyen_thong,
7140101,Giáo dục học,giao_duc,
7140103,Công nghệ giáo dục,giao_duc,
7140114,Quản lí giáo dục,giao_duc,
7140201,Giáo dục Mầm non,giao_duc,
7140202,Giáo dục Tiểu học,giao_duc,
7140203,Giáo dục đặc biệt,giao_duc,
7140204,Giáo dục công dân,giao_duc,
7140205,Giáo dục chính trị,giao_duc,
7140206,Giáo dục Thể chất,giao_duc,
7140208,Giáo dục Quốc phòng và An ninh,giao_duc,
7140209,Sư phạm Toán học,giao_duc,
7140210,Sư phạm Tin học,giao_duc,
7140211,Sư phạm Vật lí,giao_duc,
7140212,Sư phạm Hoá học,giao_duc,
7140213,Sư phạm Sinh học,giao_duc,
7140217,Sư phạm Ngữ văn,giao_duc,
7140218,Sư phạm Lịch sử,giao_duc,
7140219,Sư phạm Địa lí,giao_duc,
7140221,Sư phạm Âm nhạc,giao_duc,
7140222,Sư phạm Mỹ thuật,giao_duc,
7140231,Sư phạm Tiếng Anh,giao_duc,
7140233,Sư phạm Tiếng Pháp,giao_duc,
7140234,Sư phạm tiếng Trung Quốc,giao_duc,
7140235,Sư phạm tiếng Đức,giao_duc,
7140236,Sư phạm tiếng Nhật,giao_duc,
7140237,Sư phạm tiếng Hàn Quốc,giao_duc,
7140246,Sư phạm Công nghệ,giao_duc,
7140247,Sư phạm Khoa học tự nhiên,giao_duc,
7140249,Sư phạm Lịch sử - Địa lí,giao_duc,
7210101,"Lý luận, lịch sử và phê bình nghệ thuật",nghe_thuat,
7210103,Hội họa,nghe_thuat,
7210104,Đồ họa,nghe_thuat,
7210105,Điêu khắc,nghe_thuat,
7210107,Ngành Gốm,nghe_thuat,
7210110,Mỹ thuật đô thị (*),nghe_thuat,
7210201,Âm nhạc học,nghe_thuat,
7210203,Sáng tác âm nhạc,nghe_thuat,
7210204,Chỉ huy âm nhạc,nghe_thuat,
7210205,Thanh nhạc,nghe_thuat,
7210207,Biểu diễn nhạc cụ phương Tây,nghe_thuat,
7210208,Piano,nghe_thuat,
7210209,Nhạc Jazz,nghe_thuat,
7210210,Biểu diễn nhạc cụ truyền thống,nghe_thuat,
7210226,Diễn viên rối,nghe_thuat,
