old_code,new_code,effective_year,reason,is_verified
52480203,5248020,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140114C,7140114,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140114D,7140114,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140201A,7140201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140201B,7140201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140201C,7140201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140201K,7140201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140202A,7140202,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140202B,7140202,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140202C,7140202,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140202D,7140202,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140202K,7140202,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140203C,7140203,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140203D,7140203,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140204B,7140204,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140204C,7140204,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140205B,7140205,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140205C,7140205,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140206A,7140206,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140208C,7140208,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140208D,7140208,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140209A,7140209,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140209B,7140209,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140209C,7140209,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140209D,7140209,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140209K,7140209,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140210A,7140210,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140210B,7140210,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140210K,7140210,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140211A,7140211,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140211B,7140211,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140211C,7140211,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140211D,7140211,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140211K,7140211,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140212A,7140212,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140212B,7140212,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140212C,7140212,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140212K,7140212,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140213B,7140213,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140213D,7140213,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140217C,7140217,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140217D,7140217,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
