major_code,subject_group_code
7860100,A00
7860100,C03
7860100,D01
7860100,A01
7860100,X02
7860100,X03
7860100,X04
7480202,A00
7480202,A01
7720101,B00
7480201,A00
7480201,A01
7720101,A00
7860114,A00
7860114,A01
7480201,X26
7480201,X27
7480201,X28
7860114,X26
7860114,X27
7860114,X28
7380101,C00
7860214,A01
7860214,C00
7860214,C03
7380101,C01
7380101,D01
7380101,C03
7860214,C01
7860214,D01
7380101,Q00
7860214,Q00
522,D01
522,R22
522,A16
522,C15
523,A16
523,D01
523,R22
523,C15
527,A16
527,C15
527,D01
527,R22
528,A16
528,C15
528,D01
528,R22
529,A16
529,C15
529,D01
529,R22
530,A16
530,C15
530,D01
530,R22
531,A16
531,C15
531,D01
531,R22
532,A16
532,C15
532,D01
532,R22
533,A16
533,C15
533,D01
533,R22
535,A16
535,C15
535,D01
535,R22
536,A16
536,C15
536,D01
536,R22
537,A16
537,C15
537,D01
537,R22
538,A16
538,C15
538,D01
538,R22
602,R05
602,R06
602,R15
602,R19
602,R16
603,R09
603,R17
603,R07
603,R20
603,R08
604,R05
604,R06
604,R15
604,R19
604,R16
605,R05
605,R06
605,R15
605,R19
605,R16
606,R11
606,R12
606,R13
606,R21
606,R18
607,R05
607,R06
607,R15
607,R19
607,R16
608,R05
608,R06
608,R15
608,R19
608,R16
609,R05
609,R06
609,R15
609,R19
609,R16
610,D78
610,R26
610,D01
610,R24
610,D72
610,R25
611,D01
611,R24
611,D72
611,R25
611,D78
611,R26
614,D01
614,R24
614,D72
614,R25
614,D78
614,R26
615,D01
615,R24
615,D72
615,R25
615,D78
615,R26
616,D78
616,R26
616,D01
616,R24
616,D72
616,R25
7220201,D01
7220201,R24
7220201,D72
7220201,R25
7220201,D78
7220201,R26
7229001,A16
7229001,C15
7229001,D01
7229001,R22
7229008,A16
7229008,C15
7229008,D01
7229008,R22
7229010,C00
7229010,C03
7229010,D14
7229010,C19
7310102,D01
7310102,R22
7310102,A16
7310102,C15
7310301,A16
7310301,C15
7310301,D01
7310301,R22
7320104,A16
7320104,C15
7320104,D01
7320104,R22
7320105,A16
7320105,C15
7320105,D01
7320105,R22
7320107,D01
7320107,R24
7320107,D72
7320107,R25
7320107,D78
7320107,R26
7320110,D01
7320110,R24
7320110,D72
7320110,R25
7320110,D78
7320110,R26
7340403,A16
7340403,C15
7340403,D01
7340403,R22
7760101,A16
7760101,C15
7760101,D01
7760101,R22
801,D01
801,R22
801,A16
801,C15
802,A16
802,C15
802,D01
802,R22
602,D01
602,R22
602,D72
602,R25
602,D78
602,R26
603,D01
603,R22
603,D72
603,R25
603,D78
603,R26
604,D01
604,R22
604,D72
604,R25
604,D78
604,R26
605,D01
605,R22
605,D72
605,R25
605,D78
605,R26
606,D01
606,D72
606,D78
606,R22
606,R25
606,R26
607,D01
607,R22
607,D72
607,R25
607,D78
607,R26
608,D78
608,R26
608,D01
608,R22
608,D72
608,R25
609,D01
609,R22
609,D72
609,R25
609,D78
609,R26
610,R22
611,R22
614,R22
615,R22
616,R22
7220201,R22
7229010,R23
7310202,D01
7310202,R22
7310202,A16
7310202,C15
7320107,R22
7320110,R22
610,A01
610,R27
611,A01
611,R27
614,A01
614,R27
615,A01
615,R27
616,A01
616,R27
7220201,A01
7220201,R27
7320107,A01
7320107,R27
7320110,A01
7320110,R27
527,A01
530,A01
531,A01
533,A01
538,A01
7229001,A01
7229008,A01
7310102,A01
7310202,A01
7310301,A01
7320104,A01
7320105,A01
7340403,A01
7760101,A01
801,A01
802,A01
527,X02
527,C03
527,X01
530,X02
530,C03
530,X01
531,X02
531,C03
531,X01
533,X02
533,C03
533,X01
538,X02
538,C03
538,X01
602,D14
602,X78
602,X79
603,X79
603,D14
603,X78
604,D14
604,X78
604,X79
605,D14
605,X78
605,X79
606,X78
606,X79
606,D14
607,D14
607,X78
607,X79
610,X79
610,D14
610,X78
611,D14
611,X78
611,X79
614,D14
614,X78
614,X79
615,D14
615,X78
615,X79
616,D14
616,X78
616,X79
7220201,D14
7220201,X78
7220201,X79
7229001,X02
7229001,C03
7229001,X01
7229008,X02
7229008,C03
7229008,X01
7229010,X70
7229010,X71
7310102,X02
7310102,C03
7310102,X01
7310202,X02
7310202,C03
7310202,X01
7310205,D01
7310205,X02
7310205,C03
7310205,X01
