code,subject_1,subject_2,subject_3,display_name,is_verified
A00,Toán,Lý,Hóa,A00,true
A01,Toán,Lý,Tiếng Anh,A01,true
A02,Toán,Lý,Sinh,A02,true
A03,Toán,Lý,Lịch sử,A03,true
A04,Toán,Lý,Địa lý,A04,true
A05,Toán,Hóa,Lịch sử,A05,true
A06,Toán,Hóa,Địa lý,A06,true
A07,Toán,Lịch sử,Địa lý,A07,true
A08,Toán,Lịch sử,Giáo dục công dân,A08,true
A09,Toán,Địa lý,Tiếng Anh,A09,true
A10,Toán,Lý,Giáo dục công dân,A10,true
A11,Toán,Lý,Sinh,A11,true
A12,Toán,Lý,Tiếng Anh,A12,true
A13,Toán,Lý,Hóa,A13,true
A14,Toán,Lý,Tiếng Anh,A14,true
A15,Toán,Lý,Sinh,A15,true
A16,Toán,Khoa học tự nhiên,Ngữ văn,A16,true
A17,Toán,Lý,Sinh,A17,true
A18,Toán,Lý,Tiếng Anh,A18,true
A19,Toán,Lý,Hóa,A19,true
B00,Toán,Hóa,Sinh,B00,true
B01,Toán,Sinh,Tiếng Anh,B01,true
B02,Toán,Sinh,Địa lý,B02,true
B03,Toán,Sinh,Lịch sử,B03,true
B04,Toán,Hóa,Địa lý,B04,true
B05,Toán,Hóa,Sinh,B05,true
B08,Toán,Sinh,Giáo dục công dân,B08,true
C00,Văn,Sử,Địa,C00,true
C01,Văn,Toán,Lý,C01,true
C02,Văn,Toán,Hóa,C02,true
C03,Văn,Toán,Sử,C03,true
C04,Văn,Toán,Địa,C04,true
C05,Văn,Lý,Hóa,C05,true
C06,Văn,Lý,Địa,C06,true
C07,Văn,Hóa,Địa,C07,true
C08,Văn,Hóa,Sinh,C08,true
C09,Văn,Lý,Sử,C09,true
C10,Toán,Sử,Địa,C10,true
C11,Văn,Sử,Địa,C11,true
C12,Văn,Sử,Địa,C12,true
C13,Văn,Sử,Địa,C13,true
C14,Văn,Toán,Giáo dục công dân,C14,true
C15,Văn,Toán,Tiếng Anh,C15,true
C16,Văn,Lý,Tiếng Anh,C16,true
C19,Văn,Sử,Tiếng Anh,C19,true
C20,Văn,Địa,Tiếng Anh,C20,true
D00,Văn,Toán,Tiếng Anh,D00,true
D01,Văn,Toán,Tiếng Anh,D01,true
D02,Toán,Lý,Hóa,D02,true
D03,Toán,Hóa,Sinh,D03,true
D04,Toán,Lý,Sinh,D04,true
D05,Văn,Sử,Địa,D05,true
