admission_option_id,subject_group_code
b01dc2c2-239e-584d-a6e6-e78ea2d2e27c,A00
b01dc2c2-239e-584d-a6e6-e78ea2d2e27c,A01
b01dc2c2-239e-584d-a6e6-e78ea2d2e27c,C03
b01dc2c2-239e-584d-a6e6-e78ea2d2e27c,D01
b01dc2c2-239e-584d-a6e6-e78ea2d2e27c,D10
b01dc2c2-239e-584d-a6e6-e78ea2d2e27c,X01
b01dc2c2-239e-584d-a6e6-e78ea2d2e27c,X17
b01dc2c2-239e-584d-a6e6-e78ea2d2e27c,X25
1f9b9a5c-257c-57b9-8762-8f2a8f1290a4,K00
1f9b9a5c-257c-57b9-8762-8f2a8f1290a4,Q00
03f3daf5-f7c0-5dbc-a423-3b38329f57fb,A00
03f3daf5-f7c0-5dbc-a423-3b38329f57fb,A01
03f3daf5-f7c0-5dbc-a423-3b38329f57fb,C03
03f3daf5-f7c0-5dbc-a423-3b38329f57fb,D01
03f3daf5-f7c0-5dbc-a423-3b38329f57fb,D10
03f3daf5-f7c0-5dbc-a423-3b38329f57fb,X01
03f3daf5-f7c0-5dbc-a423-3b38329f57fb,X17
03f3daf5-f7c0-5dbc-a423-3b38329f57fb,X25
0fbdf32a-6615-52b6-b824-f42e2b6c9c71,A00
0fbdf32a-6615-52b6-b824-f42e2b6c9c71,A01
0fbdf32a-6615-52b6-b824-f42e2b6c9c71,D01
0fbdf32a-6615-52b6-b824-f42e2b6c9c71,D07
47b9dba5-cfb9-5e2a-840b-a1ca17253373,A00
47b9dba5-cfb9-5e2a-840b-a1ca17253373,A01
47b9dba5-cfb9-5e2a-840b-a1ca17253373,D01
47b9dba5-cfb9-5e2a-840b-a1ca17253373,D07
97adace4-92f7-58f1-9c81-593ca02586db,A00
97adace4-92f7-58f1-9c81-593ca02586db,A01
97adace4-92f7-58f1-9c81-593ca02586db,D01
97adace4-92f7-58f1-9c81-593ca02586db,D07
859cbd54-c79f-54f2-9f8d-101434ca7e55,A00
859cbd54-c79f-54f2-9f8d-101434ca7e55,A01
859cbd54-c79f-54f2-9f8d-101434ca7e55,D01
859cbd54-c79f-54f2-9f8d-101434ca7e55,D07
e885c404-f35b-5c04-941b-3fc8bdb9907b,A01
e885c404-f35b-5c04-941b-3fc8bdb9907b,D01
e885c404-f35b-5c04-941b-3fc8bdb9907b,D09
e885c404-f35b-5c04-941b-3fc8bdb9907b,X25
037a790b-ae76-5988-96c7-600b7980a8ee,K00
037a790b-ae76-5988-96c7-600b7980a8ee,Q00
f5a568f5-7c00-54d0-8c08-68619933ef0e,A01
f5a568f5-7c00-54d0-8c08-68619933ef0e,D01
f5a568f5-7c00-54d0-8c08-68619933ef0e,D09
f5a568f5-7c00-54d0-8c08-68619933ef0e,X25
f75a980b-fcd0-5966-8205-f7d5753fb0c3,A00
f75a980b-fcd0-5966-8205-f7d5753fb0c3,A01
f75a980b-fcd0-5966-8205-f7d5753fb0c3,A07
f75a980b-fcd0-5966-8205-f7d5753fb0c3,B08
f75a980b-fcd0-5966-8205-f7d5753fb0c3,C02
f75a980b-fcd0-5966-8205-f7d5753fb0c3,C03
f75a980b-fcd0-5966-8205-f7d5753fb0c3,C04
f75a980b-fcd0-5966-8205-f7d5753fb0c3,D01
f75a980b-fcd0-5966-8205-f7d5753fb0c3,X01
f75a980b-fcd0-5966-8205-f7d5753fb0c3,X03
f75a980b-fcd0-5966-8205-f7d5753fb0c3,X04
85768210-a16f-5480-b491-5829394d399d,C00
85768210-a16f-5480-b491-5829394d399d,C01
85768210-a16f-5480-b491-5829394d399d,D01
85768210-a16f-5480-b491-5829394d399d,X01
74f114ef-76e9-5f00-84a2-3f837ef70dfd,C00
74f114ef-76e9-5f00-84a2-3f837ef70dfd,C01
74f114ef-76e9-5f00-84a2-3f837ef70dfd,D01
74f114ef-76e9-5f00-84a2-3f837ef70dfd,X01
b03c9af9-e225-5d19-bd4e-a8936647fded,K00
b03c9af9-e225-5d19-bd4e-a8936647fded,Q00
71228fb4-c8a3-5d16-859e-6a6505d52467,C01
71228fb4-c8a3-5d16-859e-6a6505d52467,C02
71228fb4-c8a3-5d16-859e-6a6505d52467,C03
71228fb4-c8a3-5d16-859e-6a6505d52467,C04
71228fb4-c8a3-5d16-859e-6a6505d52467,D01
71228fb4-c8a3-5d16-859e-6a6505d52467,X01
71228fb4-c8a3-5d16-859e-6a6505d52467,X02
a05a1b68-6173-5b3c-ab29-a73c030cc92e,K00
a05a1b68-6173-5b3c-ab29-a73c030cc92e,Q00
7b0a0fad-6185-5e43-a823-7ea45b5d28fc,B03
7b0a0fad-6185-5e43-a823-7ea45b5d28fc,C01
7b0a0fad-6185-5e43-a823-7ea45b5d28fc,C02
7b0a0fad-6185-5e43-a823-7ea45b5d28fc,C03
7b0a0fad-6185-5e43-a823-7ea45b5d28fc,C04
7b0a0fad-6185-5e43-a823-7ea45b5d28fc,C14
7b0a0fad-6185-5e43-a823-7ea45b5d28fc,D01
7b0a0fad-6185-5e43-a823-7ea45b5d28fc,D04
a6a1033f-e13f-5671-8d7c-225347de4644,C00
a6a1033f-e13f-5671-8d7c-225347de4644,D14
a6a1033f-e13f-5671-8d7c-225347de4644,X70
b972f2ea-12a0-5920-b37a-e88f881669c4,C00
b972f2ea-12a0-5920-b37a-e88f881669c4,D14
b972f2ea-12a0-5920-b37a-e88f881669c4,X70
21cbac19-9ecd-5a4a-94f8-ea3bedea7a22,A00
21cbac19-9ecd-5a4a-94f8-ea3bedea7a22,A01
21cbac19-9ecd-5a4a-94f8-ea3bedea7a22,C01
21cbac19-9ecd-5a4a-94f8-ea3bedea7a22,D07
21cbac19-9ecd-5a4a-94f8-ea3bedea7a22,Q00
21cbac19-9ecd-5a4a-94f8-ea3bedea7a22,X06
0295b7e9-14cc-5135-b5a5-b1902c88775f,A00
0295b7e9-14cc-5135-b5a5-b1902c88775f,A01
0295b7e9-14cc-5135-b5a5-b1902c88775f,C01
0295b7e9-14cc-5135-b5a5-b1902c88775f,D07
0295b7e9-14cc-5135-b5a5-b1902c88775f,X06
b780020c-1b76-5ea8-819b-98a4a8b4a2ce,A01
b780020c-1b76-5ea8-819b-98a4a8b4a2ce,D01
b780020c-1b76-5ea8-819b-98a4a8b4a2ce,Q00
b780020c-1b76-5ea8-819b-98a4a8b4a2ce,X25
c0e55c54-201e-5e34-8d83-378263384eb3,A01
c0e55c54-201e-5e34-8d83-378263384eb3,D01
c0e55c54-201e-5e34-8d83-378263384eb3,X25
56da92c9-9214-5838-9f22-3d30888fe348,C00
56da92c9-9214-5838-9f22-3d30888fe348,C03
56da92c9-9214-5838-9f22-3d30888fe348,C04
56da92c9-9214-5838-9f22-3d30888fe348,D01
56da92c9-9214-5838-9f22-3d30888fe348,D14
56da92c9-9214-5838-9f22-3d30888fe348,D15
56da92c9-9214-5838-9f22-3d30888fe348,X01
6ae07362-e40c-5371-b8d0-a890172915f5,C00
6ae07362-e40c-5371-b8d0-a890172915f5,C03
6ae07362-e40c-5371-b8d0-a890172915f5,C04
6ae07362-e40c-5371-b8d0-a890172915f5,D01
6ae07362-e40c-5371-b8d0-a890172915f5,D14
6ae07362-e40c-5371-b8d0-a890172915f5,D15
6ae07362-e40c-5371-b8d0-a890172915f5,X01
