id,university_short_name,major_code,is_active,program_source_code,program_name,source,source_school_id,missing_reason,base_program_code,quota,canonical_program_id
5d7e674e-108b-5c00-8544-e0f2486f2576,ANH,7480201,true,7480201_Nam,Ngành Công nghệ thông tin (Thí sinh Nam),tuyensinh247,221,Thiếu quota trong course_catalog,7480201,,
7d12022c-1206-5b0f-bddb-de1fed9d451a,ANH,7480202,false,7480202,An toàn thông tin,tuyensinh247,221,Dữ liệu quá khứ (Mã nhánh/Biến thể),DS7480202,,bd54c85a-79d3-503c-a17a-484ac9f81d81
eb8599a4-b679-5ad6-a587-cb9677c9b7b5,ANH,7860100,false,7860100,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, miền Bắc)",tuyensinh247,221,Dữ liệu quá khứ (Mã nhánh/Biến thể),7860100,,c4de9de9-0422-51ac-b4a3-34da7c363ee8
c4de9de9-0422-51ac-b4a3-34da7c363ee8,ANH,7860100,true,7860100_Nam_B,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, miền Bắc)",tuyensinh247,,Thiếu quota trong course_catalog,7860100,,
601c59eb-f8f6-5a91-82dc-cd8ef716da06,ANH,7860100,true,7860100_Nu_B,"Ngành Nghiệp vụ an ninh (Thí sinh Nữ, miền Bắc)",tuyensinh247,,Thiếu quota trong course_catalog,7860100,,
77a27e8f-45e8-5b5f-877d-523baf507871,ANH,7860114,true,7860114_Nam_B,"Ngành An ninh mạng và phòng chống tội phạm công nghệ cao (Thí sinh Nam, miền Bắc)",tuyensinh247,221,Thiếu quota trong course_catalog,7860114,,
bd5945c9-74af-5ff3-9d79-defd673415d2,ANH,7860114,true,7860114_Nam_N,"Ngành An ninh mạng và phòng chống tội phạm công nghệ cao (Thí sinh Nam, miền Nam)",tuyensinh247,221,Thiếu quota trong course_catalog,7860114,,
33bfb6e7-a52e-53c0-8b13-205db03fb959,ANH,7860114,true,7860114_Nu_B,"Ngành An ninh mạng và phòng chống tội phạm công nghệ cao (Thí sinh Nữ, miền Bắc)",tuyensinh247,221,Thiếu quota trong course_catalog,7860114,,
1540952d-cbbc-5d8d-bea3-9331fa3c2c75,ANH,7860114,true,7860114_Nu_N,"Ngành An ninh mạng và phòng chống tội phạm công nghệ cao (Thí sinh Nữ, miền Nam)",tuyensinh247,221,Thiếu quota trong course_catalog,7860114,,
66852d40-0a71-5638-bb93-c70d36d85591,ANH,DS7480201,true,DS7480201,Công nghệ thông tin,tuyensinh247,,,DS7480201,50,
bd54c85a-79d3-503c-a17a-484ac9f81d81,ANH,DS7480202,true,DS7480202,An toàn thông tin,tuyensinh247,,,DS7480202,50,
96c3d097-7e14-557f-b4c8-ee15ff57a63f,BKA,BF-E12,true,BF-E12,Kỹ thuật Thực phẩm (CT tiên tiến),tuyensinh247,302,,BF-E12,60,
b3f5f257-69fc-5b51-b208-52b5dd39e9d1,BKA,BF-E12x,false,BF-E12x,Kỹ thuật Thực phẩm (CT tiên tiến),tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),BF-E12,,96c3d097-7e14-557f-b4c8-ee15ff57a63f
6fd373ce-0b23-564e-ba08-dd207e4d6848,BKA,BF-E12y,false,BF-E12y,Kỹ thuật Thực phẩm (CT tiên tiến),tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),BF-E12,,96c3d097-7e14-557f-b4c8-ee15ff57a63f
c662002c-0685-558e-8d21-d39354a511cd,BKA,BF-E19,true,BF-E19,Kỹ thuật sinh học (CT tiên tiến),tuyensinh247,302,,BF-E19,60,
df290692-8b06-5125-b8f5-96c7a2fba6ab,BKA,BF1,true,BF1,Kỹ thuật Sinh học,tuyensinh247,302,,BF1,160,
