university_short_name,program_source_code,major_name,quota,admission_methods,subject_groups,is_verified
HBT,527,"Kinh tế, chuyên ngành Quản lý kinh tế",150,DGTD,,true
HBT,527,"Kinh tế, chuyên ngành Quản lý kinh tế",150,DGNL_HN,,true
HBT,527,"Kinh tế, chuyên ngành Quản lý kinh tế",150,THPT,"C03,C04,D01,X01",true
HBT,530,"Chính trị học, chuyên ngành Công tác tư tưởng - văn hóa",100,DGTD,,true
HBT,530,"Chính trị học, chuyên ngành Công tác tư tưởng - văn hóa",100,DGNL_HN,,true
HBT,530,"Chính trị học, chuyên ngành Công tác tư tưởng - văn hóa",100,THPT,"C03,C04,D01,X01",true
HBT,531,"Chính trị học, chuyên ngành Chính trị phát triển",50,DGTD,,true
HBT,531,"Chính trị học, chuyên ngành Chính trị phát triển",50,DGNL_HN,,true
HBT,531,"Chính trị học, chuyên ngành Chính trị phát triển",50,THPT,"C03,C04,D01,X01",true
HBT,533,"Chính trị học, chuyên ngành Tư tưởng Hồ Chí Minh",40,DGTD,,true
HBT,533,"Chính trị học, chuyên ngành Tư tưởng Hồ Chí Minh",40,DGNL_HN,,true
HBT,533,"Chính trị học, chuyên ngành Tư tưởng Hồ Chí Minh",40,THPT,"C03,C04,D01,X01",true
HBT,538,"Chính trị học, chuyên ngành Truyền thông chính sách",50,DGTD,,true
HBT,538,"Chính trị học, chuyên ngành Truyền thông chính sách",50,DGNL_HN,,true
HBT,538,"Chính trị học, chuyên ngành Truyền thông chính sách",50,THPT,"C03,C04,D01,X01",true
HBT,602,"Báo chí, chuyên ngành Báo in",50,DGTD,,true
HBT,602,"Báo chí, chuyên ngành Báo in",50,DGNL_HN,,true
HBT,602,"Báo chí, chuyên ngành Báo in",50,THPT,"D01,D14,D15,X78",true
HBT,603,"Báo chí, chuyên ngành Ảnh báo chí",50,DGTD,,true
HBT,603,"Báo chí, chuyên ngành Ảnh báo chí",50,DGNL_HN,,true
HBT,603,"Báo chí, chuyên ngành Ảnh báo chí",50,THPT,"D01,D14,D15,X78",true
HBT,604,"Báo chí, chuyên ngành Báo phát thanh",50,DGTD,,true
HBT,604,"Báo chí, chuyên ngành Báo phát thanh",50,DGNL_HN,,true
HBT,604,"Báo chí, chuyên ngành Báo phát thanh",50,THPT,"D01,D14,D15,X78",true
HBT,605,"Báo chí, chuyên ngành Báo truyền hình",100,DGTD,,true
HBT,605,"Báo chí, chuyên ngành Báo truyền hình",100,DGNL_HN,,true
HBT,605,"Báo chí, chuyên ngành Báo truyền hình",100,THPT,"D01,D14,D15,X78",true
HBT,606,"Báo chí, chuyên ngành Quay phim truyền hình",50,DGTD,,true
HBT,606,"Báo chí, chuyên ngành Quay phim truyền hình",50,DGNL_HN,,true
HBT,606,"Báo chí, chuyên ngành Quay phim truyền hình",50,THPT,"D01,D14,D15,X78",true
HBT,607,"Báo chí, chuyên ngành Báo mạng điện tử",100,DGTD,,true
HBT,607,"Báo chí, chuyên ngành Báo mạng điện tử",100,DGNL_HN,,true
HBT,607,"Báo chí, chuyên ngành Báo mạng điện tử",100,THPT,"D01,D14,D15,X78",true
HBT,610,"Quan hệ quốc tế, chuyên ngành Thông tin đối ngoại",50,DGTD,,true
HBT,610,"Quan hệ quốc tế, chuyên ngành Thông tin đối ngoại",50,DGNL_HN,,true
HBT,610,"Quan hệ quốc tế, chuyên ngành Thông tin đối ngoại",50,THPT,"D01,D14,D15,X78",true
HBT,611,"Quan hệ quốc tế, chuyên ngành Quan hệ chính trị và Truyền thông quốc tế",50,DGTD,,true
