university_short_name,program_source_code,major_name_from_score,reason
ANH,7720101,Y khoa,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
ANH,7720101_Nam,Ngành Y khoa (gửi đào tạo tại Học viện Quân y),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
ANH,7720101_Nu,Ngành Y khoa (gửi đào tạo tại Học viện Quân y),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
ANH,7860100_Nam_1,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, vùng 1)",program_code không có trong course_catalog (dữ liệu vẫn được giữ)
ANH,7860100_Nam_2,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, vùng 2)",program_code không có trong course_catalog (dữ liệu vẫn được giữ)
ANH,7860100_Nam_3,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, vùng 3)",program_code không có trong course_catalog (dữ liệu vẫn được giữ)
ANH,7860100_Nam_8,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, vùng 8)",program_code không có trong course_catalog (dữ liệu vẫn được giữ)
ANH,7860100_Nu_1,"Ngành Nghiệp vụ an ninh (Thí sinh Nữ, vùng 1)",program_code không có trong course_catalog (dữ liệu vẫn được giữ)
ANH,7860100_Nu_2,"Ngành Nghiệp vụ an ninh (Thí sinh Nữ, vùng 2)",program_code không có trong course_catalog (dữ liệu vẫn được giữ)
ANH,7860100_Nu_3,"Ngành Nghiệp vụ an ninh (Thí sinh Nữ, vùng 3)",program_code không có trong course_catalog (dữ liệu vẫn được giữ)
ANH,7860100_Nu_8,"Ngành Nghiệp vụ an ninh (Thí sinh Nữ, vùng 8)",program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HBT,528,"Kinh tế, chuyên ngành Kinh tế và Quản lý (chất lượng cao)",program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HBT,529,"Kinh tế, chuyên ngành Kinh tế và Quản lý",program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HBT,535,"Chính trị học, chuyên ngành Văn hóa phát triển",program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HBT,536,"Chính trị học, chuyên ngành Chính sách công",program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HBT,"528, 528M","Kinh tế, chuyên ngành Kinh tế và Quản lý (chất lượng cao)",program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HBT,"529, 529M","Kinh tế, chuyên ngành Kinh tế và Quản lý",program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HBT,"535, 535M","Chính trị học, chuyên ngành Văn hóa phát triển",program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HBT,"536, 536M","Chính trị học, chuyên ngành Chính sách công",program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HEH,7860218_Nam_B_A00,Ngành Hậu cần Quân sự,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HEH,7860218_Nam_B_A01,Ngành Hậu cần Quân sự,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HEH,7860218_Nam_N_A00,Ngành Hậu cần Quân sự,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HEH,7860218_Nam_N_A01,Ngành Hậu cần Quân sự,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HEH,7860218_Nu_B_A00,Ngành Hậu cần Quân sự,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HEH,7860218_Nu_B_A01,Ngành Hậu cần Quân sự,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HEH,7860218_Nu_N_A00,Ngành Hậu cần Quân sự,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HEH,7860218_Nu_N_A01,Ngành Hậu cần Quân sự,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HEH,7860218_Nu_B_C01,Hậu cần quân sự (Thí sinh Nữ miền Bắc),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HEH,7860218_Nu_B_X06,Hậu cần quân sự (Thí sinh Nữ miền Bắc),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HEH,7860218_Nu_N_C01,Hậu cần quân sự (Thí sinh Nữ miền Nam),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HEH,7860218_Nu_N_X06,Hậu cần quân sự (Thí sinh Nữ miền Nam),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HEH,7860218_Nu_B,Ngành Hậu cần Quân sự,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HEH,7860218_Nu_N,Ngành Hậu cần Quân sự,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HCP,7310112,Kinh tế số,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HCP,7310206,Ngành Quản lý nhà nước,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NQH,7220204,Ngôn ngữ Trung Quốc,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
