code,name,field_code,description
7480201,Ngành Công nghệ thông tin (Thí sinh Nam),CNTT,
7860100,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, vùng 1)",,
7860114,"Ngành An ninh mạng và phòng chống tội phạm công nghệ cao (Thí sinh Nam, miền Bắc)",,
7480201_Nam,Ngành Công nghệ thông tin,CNTT,
7720101_Nam,Ngành Y khoa (gửi đào tạo tại Học viện Quân y),KY_THUAT,
7720101_Nu,Ngành Y khoa (gửi đào tạo tại Học viện Quân y),KY_THUAT,
7860100_Nam_1,Ngành Nghiệp vụ an ninh,,
7860100_Nam_2,Ngành Nghiệp vụ an ninh,,
7860100_Nam_3,Ngành Nghiệp vụ an ninh,,
7860100_Nam_8,Ngành Nghiệp vụ an ninh,,
7860100_Nu_1,Ngành Nghiệp vụ an ninh,,
7860100_Nu_2,Ngành Nghiệp vụ an ninh,,
7860100_Nu_3,Ngành Nghiệp vụ an ninh,,
7860100_Nu_8,Ngành Nghiệp vụ an ninh,,
7860114_Nam_B,Ngành An ninh mạng và phòng chống tội phạm công nghệ cao,,
7860114_Nam_N,Ngành An ninh mạng và phòng chống tội phạm công nghệ cao,,
7860114_Nu_B,Ngành An ninh mạng và phòng chống tội phạm công nghệ cao,,
7860114_Nu_N,Ngành An ninh mạng và phòng chống tội phạm công nghệ cao,,
7480202,An toàn thông tin,CNTT,
7720101,Y khoa,KY_THUAT,
7380101,Luật (Thí sinh miền Bắc),LUAT,
7860214,Biên phòng (Quân khu 4),,
7380101_B,Ngành Luật,LUAT,
7380101_N,Ngành Luật,LUAT,
7860214_A01_4,Biên phòng (Quân khu 4),,
7860214_A01_5,Biên phòng (Quân khu 5),,
7860214_A01_7,Biên phòng (Quân khu 7),,
7860214_A01_9,Biên phòng (Quân khu 9),,
7860214_B_A01,Biên phòng (Thí sinh miền Bắc),,
7860214_B_C00,Biên phòng (Thí sinh miền Bắc),,
7860214_C00_4,Biên phòng (Quân khu 4),,
7860214_C00_5,Biên phòng (Quân khu 5),,
7860214_C00_7,Biên phòng (Quân khu 7),,
7860214_C00_9,Biên phòng (Quân khu 9),,
527,"Kinh tế, chuyên ngành Quản lý kinh tế",,
530,"Chính trị học, chuyên ngành Công tác tư tưởng - văn hóa",,
531,"Chính trị học, chuyên ngành Chính trị phát triển",,
533,"Chính trị học, chuyên ngành Tư tưởng Hồ Chí Minh",,
538,"Chính trị học, chuyên ngành Truyền thông chính sách",,
602,"Báo chí, chuyên ngành Báo in",,
603,"Báo chí, chuyên ngành Ảnh báo chí",,
604,"Báo chí, chuyên ngành Báo phát thanh",,
605,"Báo chí, chuyên ngành Báo truyền hình",,
606,"Báo chí, chuyên ngành Quay phim truyền hình",,
607,"Báo chí, chuyên ngành Báo mạng điện tử",,
610,"Quan hệ quốc tế, chuyên ngành Thông tin đối ngoại",,
611,"Quan hệ quốc tế, chuyên ngành Quan hệ chính trị và Truyền thông quốc tế",,
614,"Quan hệ quốc tế, chuyên ngành Quan hệ quốc tế và Truyền thông toàn cầu",,
615,"Quan hệ công chúng, chuyên ngành Quan hệ công chúng chuyên nghiệp",,
616,"Quan hệ công chúng, chuyên ngành Truyền thông marketing",,
7220201,Ngôn ngữ Anh,NGON_NGU,
7229001,Triết học,NGON_NGU,
7229008,Chủ nghĩa xã hội khoa học,NGON_NGU,
7229010,Lịch sử,NGON_NGU,
7310102,Kinh tế chính trị,,
7310202,Xây dựng Đảng và chính quyền nhà nước,,
7310205,Quản lý nhà nước,,
7310301,Xã hội học,,
7320104,Truyền thông đa phương tiện,,
7320105,Truyền thông đại chúng,,
7320107,Truyền thông quốc tế,,
7320110,Quảng cáo,,
7340403,Quản lý công,KINH_TE,
7760101,Công tác xã hội,KY_THUAT,
801,"Xuất bản, chuyên ngành Biên tập xuất bản",,
802,"Xuất bản, chuyên ngành Xuất bản điện tử",,
532,Quản lý nhà nước,,
528,"Kinh tế, chuyên ngành Kinh tế và Quản lý (chất lượng cao)",,
529,"Kinh tế, chuyên ngành Kinh tế và Quản lý",,
535,Chính trị học. chuyên ngành Văn hóa phát triền,,
536,"Chính trị học, chuyên ngành Chính sách công",,
537,"Quản lý nhả nưóc, chuyên ngành Quản lý hành chính nhà nước",,
608,"Báo chí, chuyên ngành Báo truyền hình (chất lượng cao)",,
609,"Báo chí, chuyên ngành Báo mạng điện tử (chất lượng cao)",,
7310101,Ngành Kinh tế,,
7310105,Ngành Kinh tế phát triển,,
7310106,Ngành Kinh tế quốc tế,,
7310106_1,Ngành Kinh tế quốc tế (Chuyên ngành Kinh tế đối ngoại chất lượng cao giảng dạy bằng Tiếng Anh),,
7310106_2,Ngành Kinh tế quốc tế (Chuyên ngành Kinh doanh toàn cầu),,
7310109,Ngành Kinh tế số,,
7310206,Ngành Quản lý nhà nước,,
7340101,Ngành Quản trị kinh doanh,KINH_TE,
7340101_1,Ngành Quản trị kinh doanh (Chuyên ngành Quản trị kinh doanh chất lượng cao giảng dạy bằng Tiếng Anh),KINH_TE,
7340115_2,Ngành Marketing,KINH_TE,
7340201_1,Ngành Tài chính - Ngân hàng (Chuyên ngành Tài chính chất lượng cao giảng dạy bằng Tiếng Anh),KINH_TE,
7340201_2,Ngành Tài chính - Ngân hàng,KINH_TE,
7340301,Ngành Kế toán,KINH_TE,
7380107,Ngành Luật Kinh tế,LUAT,
7340201,Tài chính - Ngân hàng,KINH_TE,
7310106_CLC,Chương trình Kinh tế đối ngoại,,
7340201_CLC,Chương trình Tài chính,KINH_TE,
7860218,Hậu cần quân sự (Thí sinh Nam miền Bắc),,
7860218_Nam_B_A00,Ngành Hậu cần Quân sự,,
7860218_Nam_B_A01,Ngành Hậu cần Quân sự,,
7860218_Nam_N_A00,Ngành Hậu cần Quân sự,,
7860218_Nam_N_A01,Ngành Hậu cần Quân sự,,
7860218_Nu_B_A00,Ngành Hậu cần Quân sự,,
7860218_Nu_B_A01,Ngành Hậu cần Quân sự,,
7860218_Nu_N_A00,Ngành Hậu cần Quân sự,,
7860218_Nu_N_A01,Ngành Hậu cần Quân sự,,
7480201KMA,Công nghệ thông tin,CNTT,
