id,universityshortname,universitytype,universityprovince,majorcode,internalcode,internalname,fields,isactive
6506ea53-0f0f-4803-bee7-85dd4c9f6874,ANH,quân sự,HN,7480201,,,,True
e0833432-488e-4116-9b3e-a7ee138e6d91,ANH,quân sự,HN,7860100,,,,True
8339f576-1913-4eb1-a0fa-bc6ead95d652,ANH,quân sự,HN,7860114,,,,True
07c88615-3680-41d6-adfd-67b57b09b83e,ANH,quân sự,HN,7480201Nam,,,,True
89ac7c06-06f6-48b7-ac16-790a9a17b9ae,ANH,quân sự,HN,7720101Nam,,,,True
9d805a69-8515-4c20-8a78-db14cd651597,ANH,quân sự,HN,7720101Nu,,,,True
8a7e5f19-1a1a-4928-8924-782a16b7577f,ANH,quân sự,HN,7860100Nam1,,,,True
9d6ba1a4-b8ce-400d-8b1d-c32a2ea57a8f,ANH,quân sự,HN,7860100Nam2,,,,True
cc79ee9d-b54e-4cca-80ac-29c0876ebfd2,ANH,quân sự,HN,7860100Nam3,,,,True
ad5d9476-42ef-41dd-a1eb-0d64933a8e9d,ANH,quân sự,HN,7860100Nam8,,,,True
b8bc73a5-6998-41c9-8d90-867f6a1b59fb,ANH,quân sự,HN,7860100Nu1,,,,True
6eb51540-b63d-4249-bf9e-f86443b93fda,ANH,quân sự,HN,7860100Nu2,,,,True
9e984bd0-a5ca-4a19-bd29-4f994b720498,ANH,quân sự,HN,7860100Nu3,,,,True
97b73859-385b-424f-a108-0eaf1cda6176,ANH,quân sự,HN,7860100Nu8,,,,True
e17b31d4-f8e3-473c-9630-f3dab9e456ff,ANH,quân sự,HN,7860114NamB,,,,True
5a9ef89f-0b65-403d-a1fd-d415c5981e36,ANH,quân sự,HN,7860114NamN,,,,True
b00f79f3-b501-42e8-a66e-46cdd7956e2e,ANH,quân sự,HN,7860114NuB,,,,True
6d26ae05-d1c2-48dd-b06d-54f97e99cf68,ANH,quân sự,HN,7860114NuN,,,,True
c7c406a8-0891-4b51-981b-d00d20907edb,ANH,quân sự,HN,7480202,,,,True
14dde983-3a06-4560-916c-38fb28fea3eb,ANH,quân sự,HN,7720101,,,,True
184f684d-6af3-4dc1-aa4f-994e6e3b918b,CSH,quân sự,HN,7860100,,,,True
00acfeed-a692-43fe-b2bd-a31a0041c8ca,CSH,quân sự,HN,7860100Nam1,,,,True
c150455e-2ecc-469d-b46a-0f7b1c4f5186,CSH,quân sự,HN,7860100Nam2,,,,True
ed4128ff-57fc-46c0-9455-4e74a047368f,CSH,quân sự,HN,7860100Nam3,,,,True
